Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589890418093, 380492, -32, -960, 7840
1589890418104, 380503, -80, -992, 7856
1589890418115, 380514, -80, -1024, 7824
1589890418126, 380525, -160, -912, 7760
1589890418137, 380536, -96, -896, 7840
1589890418148, 380547, -64, -1008, 7776
1589890418159, 380558, -160, -976, 7856
1589890418169, 380569, -16, -960, 7856
1589890418180, 380580, -32, -992, 8048
1589890418191, 380591, -16, -944, 7888
1589890418202, 380602, -16, -960, 7920
1589890418213, 380613, -48, -928, 7904
1589890418224, 380624, -48, -976, 7872
1589890418235, 380635, -32, -944, 7920
1589890418246, 380646, 16, -944, 7888
1589890418257, 380657, -80, -960, 7856
1589890418268, 380668, -80, -992, 7888
1589890418279, 380679, -64, -960, 7792
1589890418290, 380690, -80, -960, 7840
1589890418301, 380701, 0, -1040, 7840
1589890418312, 380712, -64, -944, 7840
1589890418323, 380723, -64, -944, 7872
1589890418334, 380734, -80, -912, 7856
1589890418345, 380745, 0, -928, 7872
1589890418356, 380756, -80, -928, 7824
1589890418367, 380767, -16, -896, 7904
1589890418378, 380778, -16, -880, 7888
1589890418389, 380789, -96, -976, 7840
1589890418400, 380800, -32, -976, 7856
1589890418411, 380811, -80, -976, 7856
1589890418423, 380822, -144, -1008, 7984
1589890418433, 380833, -32, -896, 7936
1589890418445, 380844, -32, -944, 8016
1589890418456, 380855, -48, -896, 7936
1589890418467, 380866, -32, -880, 7872
1589890418478, 380877, -64, -928, 7920
1589890418489, 380888, -96, -960, 7856
1589890418500, 380899, -96, -944, 7888
1589890418511, 380910, -48, -912, 7888
1589890418522, 380921, -32, -880, 7888
1589890418533, 380932, -16, -864, 8000
1589890418544, 380943, -112, -896, 7872
1589890418554, 380954, -64, -880, 7888
1589890418565, 380965, -48, -848, 7888
1589890418576, 380976, -16, -880, 7872
1589890418587, 380987, -32, -928, 7904
1589890418598, 380998, -32, -864, 7952
1589890418610, 381009, -48, -864, 7856
1589890418620, 381020, -32, -896, 7904
1589890418631, 381031, -16, -928, 7968
1589890418642, 381042, 0, -896, 7936
1589890418653, 381053, 0, -928, 7808
1589890418664, 381064, -16, -960, 7888
1589890418676, 381075, -48, -960, 7872
1589890418686, 381086, -48, -976, 7840
1589890418698, 381097, -64, -896, 7776
1589890418709, 381108, -112, -960, 7840
1589890418720, 381119, -144, -992, 7808
1589890418731, 381130, -160, -1008, 7872
1589890418742, 381141, -80, -1008, 7824
1589890418753, 381152, -64, -992, 7920
1589890418764, 381163, -16, -928, 7920
1589890418775, 381174, -80, -960, 7920
1589890418786, 381185, -16, -928, 7936
1589890418797, 381196, -48, -1008, 7952
1589890418807, 381207, 48, -928, 7872
1589890418818, 381218, -32, -960, 7888
1589890418829, 381229, -16, -880, 7808
1589890418840, 381240, -80, -944, 7808
1589890418851, 381251, -48, -896, 7888
1589890418862, 381262, -80, -928, 7840
1589890418873, 381273, -48, -896, 7904
1589890418884, 381284, -48, -880, 7904
1589890418895, 381295, -112, -976, 7872
1589890418906, 381306, -144, -976, 7888
1589890418917, 381317, -64, -944, 7840
1589890418928, 381328, -160, -912, 7888
1589890418939, 381339, -32, -880, 7904
1589890418950, 381350, -32, -912, 7824
1589890418961, 381361, -48, -880, 7856
1589890418972, 381372, -80, -960, 7888
1589890418983, 381383, -80, -928, 7920
1589890418994, 381394, -48, -944, 7952
1589890419005, 381405, -48, -912, 7920
1589890419016, 381416, -128, -912, 7872
1589890419027, 381427, -32, -880, 7872
1589890419038, 381438, 16, -912, 7920
1589890419049, 381449, -32, -848, 7872
1589890419061, 381460, -48, -896, 7904
1589890419072, 381471, -48, -864, 7936
1589890419082, 381482, 0, -832, 7920
1589890419094, 381493, -16, -864, 7888
1589890419105, 381504, -48, -784, 7872
1589890419116, 381515, -32, -848, 7856
1589890419127, 381526, -16, -832, 7824
1589890419138, 381537, -64, -816, 7840
1589890419149, 381548, -64, -784, 7824
1589890419160, 381559, -64, -800, 7856
1589890419171, 381570, -32, -848, 7840
1589890419181, 381581, -16, -880, 8016
1589890419192, 381592, 64, -864, 7968
1589890419203, 381603, 32, -848, 8032
1589890419214, 381614, 0, -816, 7856
1589890419225, 381625, -16, -672, 7872
1589890419236, 381636, -96, -704, 7840
1589890419247, 381647, -32, -944, 7760
1589890419258, 381658, -48, -1136, 7872
1589890419269, 381669, -176, -1280, 8080
1589890419280, 381680, -112, -1152, 8096
1589890419291, 381691, -48, -848, 8080
