Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589890262617, 225018, 4032, 13504, 5200
1589890262628, 225029, 2608, 12704, 4944
1589890262639, 225040, 1568, 12656, 3968
1589890262650, 225051, 928, 12512, 2912
1589890262661, 225062, 864, 12480, 816
1589890262672, 225073, 224, 11808, -608
1589890262683, 225084, 432, 12544, -2336
1589890262694, 225095, 592, 13184, -2416
1589890262705, 225106, 1952, 13984, -848
1589890262716, 225117, 2912, 15056, 1856
1589890262727, 225128, 3984, 15424, 3936
1589890262738, 225139, 4912, 15216, 4928
1589890262749, 225150, 5232, 13792, 5248
1589890262760, 225161, 5968, 12112, 4784
1589890262771, 225172, 5600, 8656, 3984
1589890262782, 225183, 5408, 4944, 3440
1589890262793, 225194, 4512, 2992, 3120
1589890262804, 225205, 4256, 640, 3376
1589890262814, 225216, 4128, 800, 3952
1589890262826, 225227, 3952, 3632, 4240
1589890262837, 225238, 6224, 8160, 3888
1589890262848, 225249, 7712, 11824, 2752
1589890262859, 225260, 8752, 10768, 1232
1589890262870, 225271, 8864, 5568, 1568
1589890262881, 225282, 5824, 2432, 1360
1589890262892, 225293, 6896, -1040, 1872
1589890262903, 225304, 21632, -912, 5456
1589890262914, 225315, 6128, 4416, 7760
1589890262925, 225326, 8208, -3472, 4400
1589890262936, 225337, 13472, -10896, 1840
1589890262947, 225348, 5184, -6896, 416
1589890262958, 225359, 1552, -6944, -6928
1589890262969, 225370, 8336, -10768, -9536
1589890262980, 225381, 5536, -12832, -8432
1589890262991, 225392, 6224, -14640, -6272
1589890263003, 225403, 10688, -15680, -4432
1589890263013, 225414, 5584, -16384, -3600
1589890263024, 225425, 1056, -16448, -4640
1589890263036, 225436, -2944, -16800, -4800
1589890263047, 225447, -3824, -16704, -5488
1589890263058, 225458, -5952, -16208, -6128
1589890263069, 225469, -3936, -14544, -4704
1589890263080, 225480, -3408, -10064, -2144
1589890263090, 225491, -2128, -4352, 656
1589890263101, 225502, -4192, 432, 2512
1589890263112, 225513, -1008, -736, 3072
1589890263124, 225524, -1536, -2032, 3664
1589890263135, 225535, -5536, -3632, 2880
1589890263146, 225546, -7104, -5376, 1456
1589890263157, 225557, -8832, -6944, -320
1589890263167, 225568, -9264, -7936, -1680
1589890263179, 225579, -10400, -8224, -2480
1589890263190, 225590, -10752, -7344, -2592
1589890263200, 225601, -11184, -5072, -1440
1589890263211, 225612, -11936, -3280, 432
1589890263222, 225623, -12384, -2528, 3552
1589890263233, 225634, -11376, -4160, 4848
1589890263244, 225645, -10848, -5792, 5232
1589890263255, 225656, -10976, -5136, 4736
1589890263266, 225667, -10672, -4256, 4304
1589890263277, 225678, -10048, -1408, 4176
1589890263288, 225689, -10096, 1088, 4560
1589890263299, 225700, -10416, 2304, 4976
1589890263310, 225711, -9904, 1552, 4592
1589890263321, 225722, -9744, -128, 4064
1589890263332, 225733, -10432, -1264, 3040
1589890263343, 225744, -10960, -3264, 1776
1589890263354, 225755, -12672, -5024, 944
1589890263365, 225766, -12432, -5120, -80
1589890263376, 225777, -12384, -3792, -352
1589890263387, 225788, -11376, -2896, -352
1589890263398, 225799, -10480, -1408, 256
1589890263409, 225810, -9904, -800, 816
1589890263420, 225821, -9120, -1024, 1136
1589890263431, 225832, -8992, -2016, 1056
1589890263442, 225843, -9392, -2992, 576
1589890263453, 225854, -9456, -3280, -288
1589890263464, 225865, -9248, -2000, -608
1589890263475, 225876, -8592, -704, -1216
1589890263486, 225887, -7536, 1472, -2112
1589890263498, 225898, -6816, 2640, -2624
1589890263509, 225909, -6640, 2624, -1696
1589890263519, 225920, -6560, 2320, -704
1589890263531, 225931, -6896, 2176, -464
1589890263542, 225942, -7488, 2128, -800
1589890263553, 225953, -7680, 2432, -976
