Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589890192008, 154409, -3408, -5296, 5248
1589890192019, 154420, -3280, -5344, 5248
1589890192030, 154431, -3344, -5232, 5296
1589890192041, 154442, -3312, -5280, 5328
1589890192052, 154453, -3328, -5440, 5280
1589890192063, 154464, -3504, -5568, 5264
1589890192074, 154475, -3488, -5552, 5152
1589890192084, 154486, -3536, -5488, 5168
1589890192095, 154497, -3632, -5408, 5264
1589890192106, 154508, -3504, -5296, 5408
1589890192117, 154519, -3568, -5232, 5552
1589890192128, 154530, -3568, -5248, 5584
1589890192139, 154541, -3584, -5360, 5584
1589890192150, 154552, -3504, -5440, 5552
1589890192161, 154563, -3552, -5584, 5744
1589890192172, 154574, -3568, -5568, 5632
1589890192183, 154585, -3616, -5664, 5696
1589890192194, 154596, -3488, -5552, 5680
1589890192205, 154607, -3392, -5216, 5872
1589890192216, 154618, -3120, -5264, 5952
1589890192227, 154629, -2912, -5200, 6192
1589890192238, 154640, -2880, -5248, 6416
1589890192250, 154651, -2832, -5488, 6640
1589890192260, 154662, -2896, -5360, 7328
1589890192272, 154673, -2624, -5712, 7904
1589890192283, 154684, -2144, -6176, 8592
1589890192294, 154695, -1664, -6656, 9296
1589890192305, 154706, -1232, -6976, 10096
1589890192316, 154717, -672, -7408, 11056
1589890192327, 154728, -192, -7216, 12160
1589890192338, 154739, 464, -7248, 13360
1589890192349, 154750, 816, -7152, 14480
1589890192360, 154761, 2832, -7504, 15232
1589890192371, 154772, 3744, -7872, 15712
1589890192382, 154783, 3888, -8912, 15760
1589890192393, 154794, 4928, -9840, 15440
1589890192404, 154805, 5280, -10528, 14896
1589890192415, 154816, 5952, -10768, 14448
1589890192426, 154827, 6448, -10640, 13696
1589890192437, 154838, 6592, -11040, 12720
1589890192448, 154849, 7968, -11936, 12048
1589890192459, 154860, 8160, -12752, 11328
1589890192470, 154871, 8240, -13712, 10640
1589890192480, 154882, 8544, -14416, 9936
1589890192491, 154893, 9040, -14880, 8800
1589890192502, 154904, 9488, -15584, 8144
1589890192513, 154915, 10128, -16224, 7456
1589890192524, 154926, 10208, -16160, 6720
1589890192535, 154937, 11392, -16496, 6512
1589890192546, 154948, 12192, -17296, 6432
1589890192557, 154959, 12144, -18912, 6560
1589890192568, 154970, 12464, -20944, 6656
1589890192579, 154981, 13360, -23792, 6208
1589890192590, 154992, 14544, -25008, 5488
1589890192602, 155003, 15312, -26320, 4624
1589890192613, 155014, 16304, -27184, 3328
1589890192624, 155025, 17072, -27664, 2272
1589890192635, 155036, 18112, -28112, 960
1589890192646, 155047, 18192, -28288, 432
1589890192657, 155058, 17536, -29488, -112
1589890192668, 155069, 17696, -31664, -1936
1589890192679, 155080, 17584, -32560, -3744
1589890192690, 155091, 16512, -32624, -5408
1589890192701, 155102, 15856, -32624, -7424
1589890192712, 155113, 14704, -32624, -8992
1589890192723, 155124, 13584, -31888, -9728
1589890192734, 155135, 13360, -29120, -8992
1589890192745, 155146, 12272, -27488, -8352
1589890192756, 155157, 11760, -25408, -8240
1589890192767, 155168, 11520, -23776, -8640
1589890192778, 155179, 9792, -22272, -9184
1589890192789, 155190, 8688, -21024, -9136
1589890192800, 155201, 8080, -19488, -9024
1589890192811, 155212, 6560, -17856, -9440
1589890192822, 155223, 6224, -16464, -10000
1589890192833, 155234, 4464, -15232, -10128
1589890192844, 155245, 3776, -13616, -9952
1589890192855, 155256, 3760, -11936, -9360
1589890192865, 155267, 3008, -11632, -9024
1589890192876, 155278, 2400, -11680, -9104
1589890192887, 155289, 1792, -11664, -8416
1589890192898, 155300, 608, -11488, -7744
1589890192909, 155311, 720, -11072, -6768
1589890192920, 155322, 736, -11040, -5872
1589890192931, 155333, 176, -11296, -4704
