Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589890382210, 344610, -8832, 768, 1936
1589890382221, 344621, -8864, 848, 1904
1589890382232, 344632, -8896, 896, 1968
1589890382243, 344643, -8960, 912, 1984
1589890382254, 344654, -8960, 800, 1776
1589890382265, 344665, -8704, 864, 1776
1589890382276, 344676, -8528, 896, 1808
1589890382287, 344687, -8480, 912, 2144
1589890382298, 344698, -8240, 960, 2336
1589890382309, 344709, -8144, 1056, 2512
1589890382320, 344720, -8144, 1104, 2416
1589890382331, 344731, -8080, 1088, 2336
1589890382342, 344742, -8048, 1168, 2336
1589890382353, 344753, -7888, 1168, 2320
1589890382364, 344764, -7760, 1152, 2272
1589890382375, 344775, -7728, 1248, 2256
1589890382387, 344786, -7520, 1344, 2368
1589890382398, 344797, -7424, 1392, 2512
1589890382409, 344808, -7216, 1392, 2592
1589890382420, 344819, -6976, 1424, 2688
1589890382431, 344830, -6640, 1344, 2688
1589890382442, 344841, -6288, 1376, 2768
1589890382452, 344852, -5952, 1328, 2880
1589890382463, 344863, -5904, 1328, 3056
1589890382474, 344874, -4976, 1232, 3088
1589890382485, 344885, -4512, 1152, 3024
1589890382496, 344896, -4448, 1088, 2816
1589890382507, 344907, -3280, 1184, 2560
1589890382518, 344918, -2432, 1632, 2224
1589890382529, 344929, -1872, 2192, 1776
1589890382540, 344940, -1376, 3232, 1312
1589890382551, 344951, -1200, 3616, 944
1589890382562, 344962, 32, 3344, 864
1589890382573, 344973, 336, 2768, 816
1589890382584, 344984, 256, 1568, 864
1589890382595, 344995, 80, 480, 592
1589890382606, 345006, -288, -736, 352
1589890382617, 345017, -816, -1696, -48
1589890382628, 345028, -1456, -2272, -592
1589890382639, 345039, -1808, -2496, -1504
1589890382650, 345050, -1552, -2560, -1936
1589890382662, 345061, -1008, -2880, -2000
1589890382672, 345072, -704, -3584, -1840
1589890382683, 345083, 128, -4304, -1488
1589890382694, 345094, 352, -4976, -752
1589890382705, 345105, 368, -5552, -192
1589890382716, 345116, 528, -5424, 272
1589890382727, 345127, 512, -5360, 720
1589890382738, 345138, 576, -6016, 1120
1589890382749, 345149, 560, -6896, 1456
1589890382760, 345160, 656, -8272, 1776
1589890382771, 345171, 320, -9040, 1728
1589890382782, 345182, 352, -9904, 1728
1589890382793, 345193, 400, -9968, 1920
1589890382805, 345204, -256, -9456, 2048
1589890382815, 345215, 144, -9520, 2144
1589890382827, 345226, 688, -10816, 2464
1589890382838, 345237, 928, -11600, 2912
1589890382849, 345248, 1152, -12192, 3088
1589890382860, 345259, 1264, -12400, 3168
1589890382871, 345270, 1376, -12432, 3248
1589890382882, 345281, 1296, -11888, 3072
1589890382892, 345292, 1408, -11168, 2848
1589890382903, 345303, 2016, -10688, 2240
1589890382914, 345314, 3728, -11072, 2320
1589890382925, 345325, 4784, -11456, 2496
1589890382936, 345336, 5664, -11856, 3008
1589890382947, 345347, 6416, -12608, 3696
1589890382958, 345358, 6896, -13712, 4400
1589890382969, 345369, 6880, -14592, 5008
1589890382980, 345380, 6720, -15760, 5424
1589890382991, 345391, 8464, -17888, 6064
1589890383002, 345402, 8832, -19024, 6320
1589890383013, 345413, 11056, -20352, 6832
1589890383024, 345424, 11312, -21648, 7872
1589890383035, 345435, 10832, -22256, 9040
1589890383046, 345446, 10144, -22368, 10288
1589890383057, 345457, 10080, -22528, 11264
1589890383069, 345468, 10912, -22320, 11520
1589890383080, 345479, 11824, -21776, 11344
1589890383091, 345490, 12000, -20608, 11248
1589890383102, 345501, 12720, -19024, 11200
1589890383113, 345512, 12704, -16976, 11584
1589890383124, 345523, 13152, -15920, 11808
1589890383135, 345534, 13328, -15216, 11936
1589890383146, 345545, 12848, -14800, 11424
1589890383157, 345556, 12240, -14768, 10624
1589890383168, 345567, 11616, -14416, 9728
1589890383179, 345578, 11584, -13904, 8624
1589890383190, 345589, 10672, -13280, 7744
1589890383201, 345600, 10144, -12032, 6960
1589890383212, 345611, 9408, -11072, 6560
1589890383223, 345622, 8784, -10480, 6512
1589890383234, 345633, 8320, -10368, 6608
1589890383245, 345644, 8176, -10624, 6704
1589890383256, 345655, 7712, -10768, 6768
1589890383266, 345666, 7488, -10928, 7040
1589890383277, 345677, 5952, -10912, 7328
1589890383288, 345688, 5184, -10832, 7712
1589890383299, 345699, 4848, -10864, 8016
1589890383310, 345710, 2800, -10640, 8240
1589890383321, 345721, 2608, -10320, 8496
1589890383332, 345732, 2864, -10000, 8752
1589890383343, 345743, 3216, -9680, 9088
1589890383354, 345754, 3312, -9152, 9632
