Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589890485061, 447460, -8144, 352, 400
1589890485072, 447471, -8112, 336, 480
1589890485083, 447482, -8096, 288, 464
1589890485094, 447493, -8176, 288, 368
1589890485105, 447504, -8176, 208, 288
1589890485116, 447515, -8240, 96, 96
1589890485127, 447526, -8208, 16, 144
1589890485138, 447537, -8256, -128, 208
1589890485149, 447548, -8240, -128, 192
1589890485160, 447559, -8240, -128, 176
1589890485171, 447570, -8192, -144, 144
1589890485182, 447581, -8208, -128, 96
1589890485193, 447592, -8160, -144, -112
1589890485204, 447603, -8112, -288, -320
1589890485215, 447614, -8272, -368, -560
1589890485226, 447625, -8304, -384, -704
1589890485237, 447636, -8368, -464, -912
1589890485248, 447647, -8240, -528, -1248
1589890485259, 447658, -8208, -672, -1536
1589890485270, 447669, -8224, -816, -1568
1589890485281, 447680, -8208, -992, -1536
1589890485292, 447691, -8176, -1328, -1568
1589890485303, 447702, -8128, -1440, -1584
1589890485314, 447713, -7936, -1312, -1920
1589890485325, 447724, -7872, -1280, -2208
1589890485336, 447735, -7648, -1184, -2512
1589890485347, 447746, -7488, -1152, -2768
1589890485358, 447757, -7280, -1152, -2848
1589890485369, 447768, -7024, -1088, -2816
1589890485380, 447779, -6688, -848, -3120
1589890485391, 447790, -6480, -848, -3184
1589890485402, 447801, -6464, -928, -3120
1589890485413, 447812, -6352, -1104, -2960
1589890485424, 447823, -6032, -1104, -2800
1589890485435, 447834, -5728, -1056, -2832
1589890485446, 447845, -5200, -896, -2832
1589890485457, 447856, -4832, -640, -3024
1589890485469, 447867, -4208, -304, -3504
1589890485479, 447878, -3680, -64, -3776
1589890485490, 447889, -3104, 192, -4048
1589890485501, 447900, -2896, 288, -4064
1589890485512, 447911, -2000, 240, -3904
1589890485523, 447922, -1680, -32, -3216
1589890485535, 447933, -1664, -48, -2848
1589890485545, 447944, -832, -208, -2304
1589890485557, 447955, -336, -192, -1520
1589890485567, 447966, -64, -496, -896
1589890485579, 447977, 368, -1120, -352
1589890485588, 447988, 272, -1984, 352
1589890485600, 447999, 464, -2848, 736
1589890485611, 448010, 784, -3664, 1040
1589890485622, 448021, 816, -4416, 1824
1589890485633, 448032, 544, -4864, 2320
1589890485644, 448043, 272, -5712, 2944
1589890485655, 448054, 16, -6096, 3152
1589890485666, 448065, 192, -7072, 2896
1589890485677, 448076, 80, -8224, 2512
1589890485688, 448087, -224, -9168, 2400
1589890485699, 448098, -1392, -9952, 2688
1589890485710, 448109, -1360, -12288, 3552
1589890485721, 448120, -1920, -14832, 3904
1589890485732, 448131, -3072, -15392, 3968
1589890485743, 448142, -3536, -13712, 3568
1589890485754, 448153, -3872, -13056, 2400
1589890485765, 448164, -1728, -11968, 496
1589890485776, 448175, 160, -11600, -1200
1589890485787, 448186, 1232, -11056, -2448
1589890485798, 448197, 1440, -10576, -2960
1589890485809, 448208, 2144, -10480, -2880
1589890485820, 448219, 2096, -10656, -2272
1589890485831, 448230, 1920, -10784, -2288
1589890485843, 448241, 1664, -10912, -2544
1589890485854, 448252, 2176, -10640, -3600
1589890485865, 448263, 3456, -10928, -4416
1589890485876, 448274, 3904, -10528, -5040
1589890485887, 448285, 4304, -10528, -5520
1589890485898, 448296, 5056, -10336, -5696
1589890485909, 448307, 5632, -10128, -5392
1589890485920, 448318, 5616, -9536, -4800
1589890485931, 448329, 6048, -9120, -4144
1589890485942, 448340, 6016, -8176, -3312
1589890485953, 448351, 7360, -8192, -3312
1589890485964, 448362, 8192, -8096, -3536
1589890485975, 448373, 9040, -8032, -3808
1589890485986, 448384, 9648, -8320, -4016
1589890485997, 448395, 9248, -8464, -3888
1589890486007, 448406, 9008, -8912, -3872
1589890486018, 448417, 8832, -9168, -4352
1589890486029, 448428, 9296, -9984, -4960
1589890486040, 448439, 9392, -10496, -5232
1589890486051, 448450, 10048, -11072, -5296
1589890486062, 448461, 9840, -11424, -4992
1589890486073, 448472, 8816, -11328, -4608
1589890486084, 448483, 8944, -11872, -4384
1589890486095, 448494, 8928, -12160, -4352
1589890486106, 448505, 9536, -12400, -4224
1589890486117, 448516, 9936, -12832, -4000
1589890486128, 448527, 10112, -13232, -3472
1589890486139, 448538, 9552, -13056, -2992
1589890486150, 448549, 8336, -12560, -2112
1589890486161, 448560, 8176, -12784, -2176
1589890486172, 448571, 8240, -12976, -2016
1589890486183, 448582, 8624, -13264, -1856
1589890486194, 448593, 9104, -13360, -1792
1589890486205, 448604, 9360, -12896, -1824
1589890486216, 448615, 9248, -11984, -1216
1589890486227, 448626, 8352, -11792, -608
1589890486238, 448637, 8400, -11984, 16
1589890486249, 448648, 8448, -12000, 992
1589890486260, 448659, 8528, -12208, 1984
1589890486271, 448670, 8368, -12272, 2640
1589890486283, 448681, 8016, -12544, 3056
1589890486293, 448692, 8032, -13312, 2800
1589890486305, 448703, 7968, -14000, 2096
1589890486316, 448714, 7296, -14224, 1632
1589890486327, 448725, 6624, -13968, 1168
1589890486338, 448736, 6384, -13984, 1312
1589890486348, 448747, 5120, -14144, 1408
1589890486359, 448758, 5536, -14400, 1168
1589890486370, 448769, 5840, -14720, 1184
1589890486381, 448780, 5936, -14720, 1248
1589890486392, 448791, 5984, -14848, 1248
1589890486403, 448802, 5536, -14416, 1168
1589890486414, 448813, 5328, -13504, 1008
1589890486425, 448824, 5360, -12416, 672
