Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589890538995, 501393, -6176, 944, 5264
1589890539006, 501404, -6144, 944, 5344
1589890539017, 501415, -6064, 1008, 5392
1589890539028, 501426, -6000, 1104, 5424
1589890539039, 501437, -5984, 1200, 5408
1589890539050, 501448, -5920, 1216, 5504
1589890539061, 501459, -5888, 1232, 5488
1589890539072, 501470, -5872, 1280, 5440
1589890539083, 501481, -5904, 1344, 5568
1589890539094, 501492, -5792, 1360, 5552
1589890539105, 501503, -5664, 1424, 5696
1589890539116, 501514, -5664, 1488, 5600
1589890539127, 501525, -5600, 1552, 5664
1589890539138, 501536, -5600, 1632, 5872
1589890539148, 501547, -5520, 1648, 6128
1589890539159, 501558, -5392, 1712, 6320
1589890539170, 501569, -5344, 1696, 6272
1589890539181, 501580, -5328, 1792, 6208
1589890539192, 501591, -5376, 1808, 6112
1589890539203, 501602, -5504, 1744, 6176
1589890539214, 501613, -5440, 1776, 6160
1589890539225, 501624, -5376, 1920, 6192
1589890539236, 501635, -5312, 1904, 6160
1589890539247, 501646, -5280, 1856, 6224
1589890539259, 501657, -5248, 1808, 6624
1589890539269, 501668, -5376, 1824, 6816
1589890539281, 501679, -5136, 2048, 6928
1589890539292, 501690, -5168, 2416, 6896
1589890539303, 501701, -4960, 2640, 6832
1589890539314, 501712, -4848, 2624, 6944
1589890539325, 501723, -4992, 2432, 7280
1589890539336, 501734, -5088, 2208, 7536
1589890539347, 501745, -5168, 1904, 7648
1589890539358, 501756, -4928, 1680, 7808
1589890539369, 501767, -4880, 2000, 8048
1589890539380, 501778, -4864, 2624, 8240
1589890539391, 501789, -4176, 3280, 8464
1589890539402, 501800, -3440, 3632, 9024
1589890539413, 501811, -2816, 3616, 9600
1589890539424, 501822, -2400, 3344, 10256
1589890539435, 501833, -2384, 2640, 10816
1589890539446, 501844, -1952, 2080, 11024
1589890539457, 501855, -1696, 1792, 11056
1589890539468, 501866, -1632, 1888, 11008
1589890539479, 501877, -1104, 1920, 11088
1589890539490, 501888, -528, 1600, 11344
1589890539501, 501899, -112, 1152, 11872
1589890539511, 501910, 416, 416, 12016
1589890539523, 501921, 768, -384, 11888
1589890539533, 501932, 816, -1040, 11440
1589890539544, 501943, 752, -1744, 10080
1589890539555, 501954, 768, -2704, 8640
1589890539566, 501965, 432, -3488, 7216
1589890539577, 501976, -512, -4384, 5600
1589890539589, 501987, -1616, -5552, 4256
1589890539600, 501998, -2208, -6608, 2656
1589890539611, 502009, -2960, -6800, 672
1589890539622, 502020, -3328, -6768, -528
1589890539633, 502031, -3536, -6912, -1456
1589890539644, 502042, -3680, -6352, -2384
1589890539655, 502053, -4816, -6672, -2768
1589890539666, 502064, -5024, -7360, -2640
1589890539677, 502075, -5184, -7952, -2544
1589890539688, 502086, -6992, -8736, -2656
1589890539699, 502097, -7760, -9456, -3056
1589890539710, 502108, -8080, -9456, -3616
1589890539721, 502119, -8144, -9312, -3968
1589890539732, 502130, -8192, -8704, -4320
1589890539743, 502141, -8224, -8368, -4272
1589890539754, 502152, -8224, -8352, -4240
1589890539765, 502163, -8256, -8608, -4272
1589890539776, 502174, -8720, -8688, -4464
1589890539787, 502185, -9248, -8944, -4832
1589890539798, 502196, -9312, -9088, -4784
1589890539809, 502207, -9264, -9216, -4864
1589890539819, 502218, -9104, -8816, -5072
1589890539830, 502229, -8880, -8448, -5056
1589890539841, 502240, -8480, -8176, -4800
1589890539852, 502251, -8400, -7728, -4320
1589890539863, 502262, -7760, -7424, -3712
1589890539875, 502273, -7408, -7200, -2992
1589890539886, 502284, -6976, -7120, -2336
1589890539897, 502295, -6464, -7104, -1888
1589890539908, 502306, -5568, -7088, -1536
1589890539919, 502317, -4768, -6784, -1600
1589890539930, 502328, -4368, -6576, -1904
1589890539941, 502339, -4320, -6512, -2160
1589890539952, 502350, -3680, -6448, -2224
1589890539963, 502361, -3312, -6176, -1760
1589890539974, 502372, -3168, -6192, -1472
1589890539985, 502383, -2144, -6144, -1232
1589890539996, 502394, -1632, -6048, -1008
1589890540007, 502405, -1120, -6000, -992
1589890540018, 502416, -832, -5856, -1104
1589890540029, 502427, -864, -5584, -1104
1589890540040, 502438, -992, -5536, -1168
1589890540051, 502449, -896, -5632, -1824
1589890540062, 502460, -816, -5616, -2400
1589890540073, 502471, -1184, -5536, -2992
1589890540084, 502482, -1264, -5168, -3616
1589890540095, 502493, -1120, -4816, -3920
1589890540106, 502504, -1056, -4656, -3888
1589890540117, 502515, -944, -4192, -3680
1589890540128, 502526, -656, -4016, -3280
1589890540139, 502537, -480, -4192, -2896
1589890540150, 502548, -448, -4368, -2736
1589890540161, 502559, -992, -4416, -2704
1589890540172, 502570, -1168, -4688, -2368
1589890540183, 502581, -1152, -4080, -2096
1589890540194, 502592, -720, -3904, -1648
1589890540204, 502603, 608, -3904, -736
1589890540215, 502614, 1152, -4640, -16
1589890540226, 502625, 1376, -5136, 784
1589890540237, 502636, 1424, -6448, 1920
1589890540248, 502647, 2416, -8208, 3280
1589890540259, 502658, 1968, -9808, 5696
1589890540270, 502669, 1616, -10112, 7968
1589890540281, 502680, 1760, -9936, 9936
1589890540293, 502691, 3568, -9072, 12672
1589890540304, 502702, 5088, -8816, 14736
1589890540315, 502713, 6048, -9104, 15856
1589890540326, 502724, 6128, -9760, 17392
1589890540337, 502735, 3904, -10912, 18576
1589890540348, 502746, 1936, -11664, 19344
1589890540359, 502757, 1360, -11200, 18656
1589890540370, 502768, 528, -10048, 17120
1589890540381, 502779, 1712, -8576, 14816
1589890540392, 502790, 2240, -7904, 13184
1589890540403, 502801, 2224, -7728, 12384
1589890540414, 502812, 2272, -8208, 11632
1589890540425, 502823, 1888, -8272, 11344
1589890540436, 502834, 1824, -8752, 11488
1589890540447, 502845, 1824, -9424, 11232
1589890540458, 502856, 2496, -9632, 10944
1589890540469, 502867, 2928, -9504, 10208
1589890540480, 502878, 3536, -9472, 9968
1589890540491, 502889, 4176, -9184, 9632
1589890540502, 502900, 4624, -9920, 9840
1589890540513, 502911, 3888, -8208, 9856
1589890540524, 502922, 4176, -8976, 9536
1589890540535, 502933, 4240, -8208, 9840
1589890540546, 502944, 2688, -8880, 9936
1589890540557, 502955, 2208, -9664, 9664
1589890540567, 502966, 1184, -8864, 9472
1589890540578, 502977, 960, -8944, 9552
1589890540589, 502988, 1536, -9056, 9744
1589890540600, 502999, 1904, -9120, 9424
1589890540611, 503010, 2160, -9136, 8608
1589890540622, 503021, 2176, -8784, 7248
1589890540633, 503032, 2464, -8352, 6032
1589890540644, 503043, 2752, -7904, 4832
1589890540655, 503054, 2784, -7568, 4304
1589890540666, 503065, 2816, -7392, 3920
1589890540677, 503076, 2976, -7376, 3760
1589890540688, 503087, 3056, -7344, 3936
1589890540700, 503098, 3136, -7344, 4208
1589890540711, 503109, 3024, -7344, 4368
1589890540722, 503120, 2928, -7488, 4656
1589890540733, 503131, 2848, -7712, 4864
1589890540744, 503142, 2784, -7488, 4784
1589890540755, 503153, 3232, -6976, 4832
1589890540766, 503164, 3600, -6288, 4960
1589890540777, 503175, 3936, -5680, 5104
1589890540788, 503186, 4464, -5088, 5152
1589890540799, 503197, 4592, -4544, 5504
1589890540810, 503208, 5664, -4368, 5952
1589890540821, 503219, 5664, -4096, 6880
1589890540832, 503230, 5760, -4032, 7504
1589890540843, 503241, 6032, -4144, 8112
1589890540854, 503252, 6176, -4240, 8832
1589890540865, 503263, 6640, -4000, 8896
1589890540876, 503274, 6608, -3936, 9088
1589890540887, 503285, 6512, -4112, 9552
1589890540898, 503296, 7056, -4368, 9696
1589890540909, 503307, 7856, -4592, 9760
1589890540920, 503318, 7984, -4368, 9840
1589890540931, 503329, 8912, -5088, 8512
1589890540942, 503340, 8944, -5856, 7840
1589890540952, 503351, 8448, -6048, 7216
1589890540963, 503362, 8368, -6688, 6752
1589890540974, 503373, 8320, -6976, 6272
1589890540985, 503384, 8400, -7056, 6176
1589890540998, 503395, 8512, -7360, 6176
1589890541007, 503406, 8496, -8480, 6080
1589890541018, 503417, 7984, -9120, 5584
1589890541029, 503428, 7776, -8512, 4256
1589890541040, 503439, 7728, -8224, 3136
1589890541051, 503450, 7600, -7936, 2096
1589890541062, 503461, 7152, -8016, 1824
1589890541073, 503472, 6896, -8576, 1216
1589890541084, 503483, 6624, -9104, 912
1589890541095, 503494, 6384, -9712, 960
1589890541106, 503505, 5616, -9808, 528
1589890541117, 503516, 5104, -9456, 112
1589890541129, 503527, 4880, -9056, -736
1589890541140, 503538, 3856, -8544, -1248
1589890541151, 503549, 3536, -8048, -1744
1589890541162, 503560, 3552, -8048, -2768
1589890541173, 503571, 3520, -7392, -1808
1589890541184, 503582, 3392, -7360, -400
1589890541195, 503593, 3632, -7472, 336
1589890541206, 503604, 3568, -7216, 1392
1589890541217, 503615, 3456, -6992, 1152
1589890541228, 503626, 3648, -6784, 1312
1589890541239, 503637, 3568, -6688, 1808
1589890541250, 503648, 3504, -6528, 2048
1589890541261, 503659, 3984, -6704, 1776
1589890541272, 503670, 4192, -6704, 1792
1589890541283, 503681, 3888, -6288, 1856
1589890541294, 503692, 3776, -6000, 1920
1589890541305, 503703, 3904, -5600, 2336
1589890541316, 503714, 2896, -5104, 2416
1589890541327, 503725, 2944, -5216, 3056
1589890541338, 503736, 3120, -5440, 3552
1589890541348, 503747, 3024, -5856, 4176
1589890541359, 503758, 2272, -6128, 4800
1589890541370, 503769, 1552, -6576, 5264
