Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589890579035, 541433, -1552, -2304, -7456
1589890579046, 541444, -1456, -2288, -7456
1589890579057, 541455, -1488, -2272, -7472
1589890579068, 541466, -1360, -2256, -7504
1589890579079, 541477, -1344, -2256, -7488
1589890579090, 541488, -1440, -2288, -7344
1589890579102, 541499, -1408, -2416, -7328
1589890579112, 541510, -1472, -2464, -7424
1589890579123, 541521, -1552, -2432, -7552
1589890579135, 541532, -1632, -2368, -7504
1589890579146, 541543, -1632, -2304, -7600
1589890579157, 541554, -1600, -2224, -7536
1589890579168, 541565, -1520, -2240, -7488
1589890579179, 541576, -1424, -2160, -7408
1589890579190, 541587, -1360, -2272, -7216
1589890579200, 541598, -1504, -2432, -7296
1589890579211, 541609, -1536, -2336, -7424
1589890579222, 541620, -1600, -2320, -7376
1589890579233, 541631, -1584, -2240, -7424
1589890579244, 541642, -1552, -2288, -7264
1589890579255, 541653, -1520, -2272, -7280
1589890579266, 541664, -1472, -2304, -7296
1589890579277, 541675, -1456, -2336, -7440
1589890579288, 541686, -1392, -2480, -7584
1589890579299, 541697, -1408, -2656, -7632
1589890579310, 541708, -1456, -2992, -7760
1589890579321, 541719, -1392, -3216, -7920
1589890579332, 541730, -1472, -3696, -8096
1589890579343, 541741, -1456, -3728, -8800
1589890579354, 541752, -1824, -3456, -10080
1589890579365, 541763, -1168, -3152, -11424
1589890579376, 541774, -832, -2960, -12080
1589890579387, 541785, -576, -3056, -12304
1589890579398, 541796, -496, -3456, -12160
1589890579409, 541807, -944, -3728, -11776
1589890579420, 541818, -1088, -4240, -10944
1589890579431, 541829, -1120, -4672, -10528
1589890579442, 541840, -1104, -4624, -10864
1589890579454, 541851, -1216, -4224, -11936
1589890579465, 541862, -1232, -3968, -12576
1589890579476, 541873, -1216, -3776, -12752
1589890579487, 541884, -1152, -3744, -12304
1589890579497, 541895, -848, -3648, -11632
1589890579509, 541906, -624, -3696, -10848
1589890579520, 541917, -720, -3648, -9840
1589890579530, 541928, -560, -3600, -9440
1589890579541, 541939, -688, -3360, -9200
1589890579553, 541950, -800, -3200, -9264
1589890579564, 541961, -960, -2992, -9360
1589890579574, 541972, -896, -2864, -9376
1589890579585, 541983, -960, -2832, -8992
1589890579596, 541994, -848, -2848, -8368
