Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589890657444, 619841, -3248, -1392, 7360
1589890657455, 619852, -3056, -1456, 7376
1589890657466, 619863, -3152, -1488, 7472
1589890657477, 619874, -3136, -1504, 7408
1589890657488, 619885, -3056, -1616, 7392
1589890657499, 619896, -3072, -1536, 7408
1589890657510, 619907, -3088, -1584, 7264
1589890657520, 619918, -3120, -1520, 7200
1589890657531, 619929, -3024, -1616, 7184
1589890657542, 619940, -3072, -1728, 7232
1589890657553, 619951, -3088, -1648, 7360
1589890657564, 619962, -3024, -1744, 7280
1589890657576, 619973, -2992, -1728, 7360
1589890657587, 619984, -2960, -1728, 7392
1589890657598, 619995, -2896, -1808, 7584
1589890657609, 620006, -2848, -1856, 7616
1589890657620, 620017, -2848, -2000, 7792
1589890657631, 620028, -2768, -2192, 7840
1589890657642, 620039, -2688, -2256, 7952
1589890657653, 620050, -2736, -2352, 7840
1589890657664, 620061, -2624, -2368, 7760
1589890657675, 620072, -2672, -2320, 7584
1589890657686, 620083, -2640, -2256, 7344
1589890657697, 620094, -2608, -2064, 7136
1589890657708, 620105, -2704, -1680, 6944
1589890657719, 620116, -2768, -1472, 6816
1589890657730, 620127, -2736, -1536, 6896
1589890657741, 620138, -2768, -1600, 7136
1589890657752, 620149, -2704, -1488, 7296
1589890657763, 620160, -2592, -1248, 7328
1589890657774, 620171, -2720, -976, 7184
1589890657785, 620182, -2816, -688, 6848
1589890657796, 620193, -3120, -448, 6432
1589890657807, 620204, -3408, -672, 6528
1589890657818, 620215, -3696, -912, 6848
1589890657829, 620226, -3728, -1168, 7360
1589890657840, 620237, -3920, -1136, 7680
1589890657851, 620248, -3808, -928, 8016
1589890657862, 620259, -3824, -736, 7824
1589890657873, 620270, -3792, -528, 7664
1589890657884, 620281, -4112, -224, 7152
1589890657894, 620292, -4416, 144, 6832
1589890657905, 620303, -4736, 528, 6448
1589890657916, 620314, -4912, 1024, 6032
1589890657927, 620325, -4832, 1280, 5968
1589890657938, 620336, -4736, 1328, 6224
1589890657949, 620347, -4608, 1232, 6416
1589890657960, 620358, -4256, 1232, 6624
1589890657971, 620369, -4144, 1120, 6800
1589890657982, 620380, -3920, 960, 6944
1589890657993, 620391, -3824, 784, 7040
1589890658004, 620402, -3616, 512, 7024
1589890658015, 620413, -3504, 368, 6992
1589890658027, 620424, -3280, 256, 6960
1589890658037, 620435, -3232, 80, 7024
1589890658049, 620446, -2688, -256, 7088
1589890658060, 620457, -2448, -784, 7232
1589890658071, 620468, -2384, -1200, 7056
1589890658082, 620479, -2192, -1776, 7056
1589890658093, 620490, -2144, -2320, 6832
1589890658104, 620501, -2208, -2560, 6768
1589890658114, 620512, -2304, -2880, 6896
1589890658126, 620523, -2304, -3568, 7056
1589890658137, 620534, -2464, -3728, 7168
1589890658148, 620545, -2544, -4016, 7680
1589890658159, 620556, -2512, -4256, 7808
1589890658170, 620567, -2304, -4368, 8128
1589890658181, 620578, -2128, -4576, 8320
1589890658192, 620589, -1920, -4576, 8560
1589890658203, 620600, -1840, -4448, 8560
1589890658214, 620611, -1696, -4256, 8400
1589890658225, 620622, -1696, -3936, 8096
1589890658236, 620633, -1760, -3424, 7600
1589890658247, 620644, -1968, -2960, 7360
1589890658258, 620655, -1824, -2688, 7168
1589890658269, 620666, -1776, -2512, 7264
1589890658280, 620677, -2000, -2272, 7376
1589890658291, 620688, -2160, -2064, 7616
1589890658302, 620699, -2400, -1776, 7664
1589890658313, 620710, -2688, -1424, 7392
1589890658324, 620721, -3008, -1328, 7088
1589890658335, 620732, -3136, -976, 6576
1589890658346, 620743, -4064, -704, 6160
1589890658357, 620754, -4528, -496, 6080
1589890658368, 620765, -4592, -720, 6448
1589890658379, 620776, -5504, -912, 6832
1589890658390, 620787, -5696, -928, 7152
1589890658401, 620798, -5664, -944, 7392
1589890658412, 620809, -5712, -992, 7392
1589890658423, 620820, -5680, -800, 7232
1589890658434, 620831, -5648, -528, 6944
1589890658445, 620842, -5600, -384, 6704
1589890658456, 620853, -5712, 64, 6368
1589890658467, 620864, -5648, 336, 6160
1589890658478, 620875, -5408, 864, 6112
1589890658489, 620886, -5152, 1184, 6240
1589890658500, 620897, -4928, 1312, 6448
1589890658511, 620908, -4592, 1472, 6656
1589890658522, 620919, -4352, 1456, 6880
1589890658533, 620930, -4144, 1392, 7056
1589890658543, 620941, -4080, 1280, 6784
1589890658554, 620952, -3872, 1312, 6608
1589890658565, 620963, -3680, 1344, 6128
1589890658576, 620974, -3568, 1504, 5920
1589890658587, 620985, -3024, 1520, 5776
1589890658598, 620996, -2896, 1328, 5840
1589890658610, 621007, -2752, 1152, 6048
1589890658620, 621018, -2512, 608, 6496
1589890658631, 621029, -2496, -160, 7120
1589890658643, 621040, -2064, -736, 7376
1589890658654, 621051, -2080, -1136, 7296
1589890658665, 621062, -2064, -1648, 7248
1589890658676, 621073, -2176, -1952, 7088
1589890658687, 621084, -2368, -2384, 6848
1589890658698, 621095, -2496, -2640, 6816
1589890658709, 621106, -2816, -2992, 6944
1589890658720, 621117, -3056, -3584, 7488
1589890658731, 621128, -3072, -3984, 8160
1589890658742, 621139, -2992, -4272, 9136
1589890658753, 621150, -3056, -4640, 9552
1589890658764, 621161, -2208, -4736, 9872
1589890658775, 621172, -2032, -4688, 9856
1589890658786, 621183, -1824, -4496, 9424
1589890658797, 621194, -1728, -4352, 8784
1589890658808, 621205, -1824, -3904, 7936
1589890658819, 621216, -1840, -3568, 7728
