Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589890208618, 171019, 3664, -2512, -6592
1589890208629, 171030, 3648, -2656, -6544
1589890208640, 171041, 3600, -2688, -6400
1589890208650, 171052, 3712, -2576, -6416
1589890208661, 171063, 3664, -2416, -6416
1589890208672, 171074, 3632, -2256, -6496
1589890208683, 171085, 3824, -2192, -6640
1589890208694, 171096, 3840, -2128, -6784
1589890208705, 171107, 3904, -2144, -6560
1589890208716, 171118, 3808, -2112, -6528
1589890208727, 171129, 3952, -2256, -6432
1589890208738, 171140, 3968, -2304, -6592
1589890208749, 171151, 3856, -2272, -6768
1589890208760, 171162, 3792, -2256, -6752
1589890208772, 171173, 3696, -2304, -6832
1589890208783, 171184, 3872, -2240, -6672
1589890208794, 171195, 3888, -2144, -6560
1589890208805, 171206, 3904, -2096, -6528
1589890208816, 171217, 3952, -2048, -6336
1589890208827, 171228, 3808, -2160, -6176
1589890208838, 171239, 3872, -2256, -6032
1589890208849, 171250, 3776, -2368, -6128
1589890208860, 171261, 3776, -2416, -6304
1589890208871, 171272, 3760, -2560, -6448
1589890208882, 171283, 3712, -2576, -6576
1589890208893, 171294, 3264, -2640, -6496
1589890208904, 171305, 3200, -2720, -6112
1589890208915, 171316, 3280, -2720, -5776
1589890208926, 171327, 3136, -2800, -5248
1589890208937, 171338, 3008, -2960, -4528
1589890208948, 171349, 2624, -3168, -4032
1589890208959, 171360, 2224, -3616, -3376
1589890208970, 171371, 2192, -4512, -1888
1589890208981, 171382, 1472, -5136, -528
1589890208992, 171393, 1184, -5680, 1104
1589890209003, 171404, 1200, -5712, 2576
1589890209014, 171415, 1168, -6368, 4560
1589890209024, 171426, 2976, -7776, 8000
1589890209035, 171437, 5008, -9200, 11200
1589890209046, 171448, 6304, -11072, 13472
1589890209057, 171459, 6480, -12688, 15408
1589890209068, 171470, 8160, -14112, 15776
1589890209079, 171481, 9584, -15632, 15200
1589890209091, 171492, 10256, -17584, 14640
1589890209102, 171503, 15216, -18816, 14000
1589890209113, 171514, 18400, -19696, 13232
1589890209124, 171525, 21072, -19728, 12880
1589890209135, 171536, 23616, -20384, 13152
1589890209146, 171547, 25968, -22384, 13536
1589890209157, 171558, 27216, -24976, 13904
1589890209168, 171569, 28432, -28384, 13824
1589890209179, 171580, 28720, -31408, 13008
1589890209190, 171591, 31536, -32528, 11504
1589890209201, 171602, 32512, -32400, 9648
1589890209212, 171613, 32560, -31216, 8864
1589890209223, 171624, 32336, -29776, 8096
1589890209234, 171635, 30928, -28528, 7184
1589890209245, 171646, 29312, -27648, 6592
1589890209256, 171657, 27520, -27424, 5888
1589890209267, 171668, 26912, -26384, 4880
1589890209278, 171679, 23056, -25168, 3968
1589890209289, 171690, 23056, -24528, 3024
1589890209300, 171701, 23040, -23232, 2576
1589890209311, 171712, 19968, -21568, 2240
1589890209322, 171723, 17680, -19120, 2384
1589890209333, 171734, 16640, -16976, 2848
1589890209344, 171745, 14528, -14976, 5056
1589890209355, 171756, 14560, -12864, 1872
1589890209366, 171767, 13424, -12496, 1424
1589890209377, 171778, 12624, -12480, -80
1589890209388, 171789, 12448, -11600, -1696
1589890209399, 171800, 10496, -10176, -2816
