Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589605371796, 35622, -1424, -2992, 7280
1589605371806, 35633, -1360, -2992, 7312
1589605371818, 35644, -1392, -3120, 7264
1589605371829, 35655, -1392, -3024, 7296
1589605371840, 35666, -1424, -3072, 7376
1589605371851, 35677, -1328, -3040, 7248
1589605371862, 35688, -1376, -3008, 7216
1589605371871, 35699, 0, 1, 0
1589605371884, 35710, -1504, -2944, 7248
1589605371895, 35721, -1376, -2944, 7232
1589605371906, 35732, -1328, -2912, 7296
1589605371917, 35743, -1264, -2928, 7280
1589605371928, 35754, -1296, -2976, 7264
1589605371939, 35765, -1280, -2992, 7280
1589605371950, 35776, -1360, -2912, 7184
1589605371961, 35787, -1328, -2896, 7168
1589605371972, 35798, -1296, -2896, 7088
1589605371983, 35809, -1376, -2880, 7152
1589605371994, 35820, -1296, -2928, 7392
1589605372005, 35831, -1296, -2912, 7168
1589605372016, 35842, -1280, -2928, 7056
1589605372027, 35853, -1232, -2896, 7168
1589605372036, 35863, 0, 1, 0
1589605372047, 35874, 0, 1960, 16380
1589605372059, 35885, -1216, -2848, 7216
1589605372070, 35896, -1232, -2864, 7232
1589605372081, 35907, -1184, -2880, 7264
1589605372092, 35918, -1200, -2784, 7088
1589605372103, 35929, -1216, -2736, 6992
1589605372114, 35940, -1264, -2672, 6912
1589605372125, 35951, -1232, -2512, 6896
1589605372136, 35962, -1200, -2240, 6784
1589605372147, 35973, -1120, -1824, 6816
1589605372157, 35984, -960, -1328, 6880
1589605372168, 35995, -768, -800, 6960
1589605372179, 36006, -608, -320, 7376
1589605372190, 36017, -528, -192, 7648
1589605372201, 36028, -464, -128, 7776
1589605372212, 36039, -448, 48, 7792
1589605372223, 36050, -752, 336, 7472
1589605372234, 36061, -1056, 640, 7216
1589605372246, 36072, -1344, 928, 6992
1589605372257, 36083, -1728, 1344, 7024
1589605372268, 36094, -1888, 1664, 7008
1589605372279, 36105, -1840, 2096, 7488
1589605372290, 36116, -1728, 2720, 8464
1589605372301, 36127, -576, 3040, 9312
1589605372312, 36138, 592, 3568, 10416
1589605372323, 36149, 1376, 3488, 11392
1589605372334, 36160, 1744, 2672, 11968
1589605372345, 36171, 1648, 1776, 12128
1589605372356, 36182, 1344, 816, 12048
1589605372367, 36193, 1408, -448, 12240
1589605372378, 36204, 1712, -1232, 12640
1589605372389, 36215, 2064, -2016, 13408
1589605372400, 36226, 2176, -2832, 13936
1589605372411, 36237, 2352, -4352, 14304
1589605372422, 36248, 2688, -5888, -48
1589605372433, 36259, 2912, -7504, 13568
1589605372444, 36270, 2928, -9744, 13104
1589605372455, 36281, 2608, -11648, 12432
1589605372466, 36292, 1904, -13632, 12032
1589605372477, 36303, 1408, -14848, 11616
1589605372488, 36314, 1568, -15920, 11344
1589605372499, 36325, 1888, -16256, 10672
1589605372510, 36336, 2112, -16512, 9936
1589605372521, 36347, 2160, -16864, 9248
1589605372531, 36358, 2640, -16832, 8688
1589605372542, 36369, 2992, -16752, 7920
1589605372553, 36380, 3424, -16464, 7248
1589605372564, 36391, 3888, -15904, 6464
1589605372576, 36402, 4272, -15248, 5472
1589605372587, 36413, 4672, -14576, 4768
1589605372598, 36424, 4848, -13632, 4064
1589605372609, 36435, 5136, -12880, 3488
1589605372620, 36446, 4384, -11536, 2624
1589605372631, 36457, 5616, -10640, 1952
1589605372642, 36468, 6272, -10192, 1584
1589605372653, 36479, 6464, -8832, 1120
1589605372664, 36490, 6704, -7328, -32
1589605372675, 36501, 6768, -5424, -624
1589605372686, 36512, 6960, -4224, -1104
1589605372697, 36523, 7072, -3568, -1504
1589605372708, 36534, 7280, -3456, -1712
1589605372719, 36545, 7120, -3552, -2256
1589605372730, 36556, 7104, -3600, -2480
1589605372741, 36567, 6976, -3712, -3152
1589605372752, 36578, 6912, -3728, -3520
1589605372763, 36589, 6400, -3632, -3872
1589605372774, 36600, 6272, -3712, -4288
1589605372785, 36611, 5888, -4000, -4448
1589605372796, 36622, 5552, -4192, -4560
1589605372807, 36633, 5232, -4320, -4672
1589605372818, 36644, 4896, -4736, -4640
1589605372829, 36655, 4816, -4992, -4912
1589605372840, 36666, 4688, -5152, -4896
1589605372851, 36677, 4656, -5616, -4672
1589605372862, 36688, 5136, -6128, -4336
1589605372873, 36699, 5616, -6672, -3584
1589605372884, 36710, 6000, -7136, -2592
1589605372895, 36721, 6368, -7840, -1360
1589605372905, 36732, 6448, -8656, -96
1589605372915, 36743, 0, 1, 0
1589605372928, 36754, 6944, -10912, 2144
1589605372939, 36765, 7104, -12112, 2992
1589605372950, 36776, 7904, -13600, 3856
1589605372961, 36787, 8592, -14432, 4432
1589605372972, 36798, 9696, -15968, 5552
1589605372983, 36809, 10832, -17328, 6448
1589605372994, 36820, 11072, -18608, 7280
1589605373005, 36831, 11248, -20304, 7920
1589605373015, 36842, 11376, -21776, 7952
1589605373027, 36853, 10928, -24720, 8560
1589605373038, 36864, 10320, -25904, 9296
1589605373049, 36875, 11104, -27536, 9456
1589605373060, 36886, 14192, -24560, 15264
