Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589606031712, 100165, -6096, 704, 4976
1589606031723, 100176, -6064, 720, 4752
1589606031734, 100187, -5904, 672, 4912
1589606031745, 100198, -6032, 640, 4768
1589606031756, 100209, -6048, 560, 4736
1589606031767, 100220, -6064, 528, 4720
1589606031778, 100231, -6112, 448, 4672
1589606031789, 100242, -5984, 448, 4752
1589606031800, 100253, -5952, 448, 4864
1589606031810, 100264, -6032, 448, 4624
1589606031821, 100275, -5680, 352, 4528
1589606031832, 100286, -5616, 368, 4208
1589606031843, 100297, -5312, 336, 3776
1589606031854, 100308, -4832, 160, 3296
1589606031865, 100319, -4512, 80, 2576
1589606031876, 100330, -4176, -48, 1872
1589606031888, 100341, -4096, -208, 1136
1589606031899, 100352, -3232, -480, 656
1589606031910, 100363, -3280, -1040, 192
1589606031920, 100374, -2288, -1696, 0
1589606031932, 100385, -2384, -2704, -320
1589606031943, 100396, -2368, -3680, -464
1589606031954, 100407, -2272, -4400, -528
1589606031965, 100418, -2064, -4880, -528
1589606031976, 100429, -1888, -5024, -400
1589606031987, 100440, -1840, -4848, -384
1589606031998, 100451, -1120, -4848, -368
1589606032009, 100462, -128, -4528, -336
1589606032020, 100473, 848, -4288, -288
1589606032031, 100484, 2032, -3936, -32
1589606032042, 100495, 3392, -3824, 480
1589606032053, 100506, 4656, -3728, 1408
1589606032064, 100517, 5024, -3984, 2640
1589606032075, 100528, 7088, -4640, 3728
1589606032086, 100539, 7968, -6048, 5136
1589606032097, 100550, 8480, -7264, 6288
1589606032108, 100561, 9200, -9360, 8032
1589606032119, 100572, 9328, -11536, 9264
1589606032130, 100583, 9968, -13440, 10640
1589606032141, 100594, 10176, -15136, 11824
1589606032153, 100605, 12176, -15952, 12848
1589606032163, 100616, 14816, -16560, 14704
1589606032174, 100627, 17904, -16352, 16096
1589606032185, 100638, 22080, -14768, 17552
1589606032196, 100649, 24944, -11760, 17360
1589606032207, 100660, 26416, -7696, 16432
1589606032218, 100671, 26624, -1664, 15232
1589606032229, 100682, 25152, 2992, 14704
1589606032240, 100693, 22704, 5408, 15312
1589606032251, 100704, 21136, 4416, 16368
1589606032262, 100715, 19168, 1520, 17024
1589606032273, 100726, 16768, -1504, 17376
1589606032284, 100737, 14608, -3824, 16704
1589606032295, 100748, 14192, -5056, 15824
1589606032306, 100759, 11792, -5504, 14848
1589606032317, 100770, 11648, -5776, 14064
1589606032328, 100781, 11952, -5200, 14048
1589606032339, 100792, 12816, -4000, 14608
1589606032350, 100803, 13664, -2512, 15184
1589606032362, 100814, 14288, -1280, 15856
1589606032372, 100825, 14480, -592, 16128
1589606032383, 100836, 14896, -576, 16432
1589606032394, 100847, 14784, -1344, 16624
1589606032405, 100858, 14160, -2240, 16528
1589606032416, 100869, 13552, -2560, 15952
1589606032427, 100880, 13840, -2080, 15280
1589606032438, 100891, 14448, -1120, 15120
1589606032449, 100902, 14672, -368, 14928
1589606032460, 100913, 15232, -624, 15056
1589606032471, 100924, 15392, -1696, 14800
1589606032482, 100935, 16640, -2256, 13584
1589606032493, 100946, 16528, -3200, 11968
1589606032504, 100957, 16256, -3952, 10608
1589606032515, 100968, 15760, -4384, 8960
1589606032526, 100979, 15680, -4608, 8304
1589606032537, 100990, 14816, -4208, 7504
1589606032547, 101001, 14720, -3312, 6640
1589606032558, 101012, 14144, -2928, 6096
1589606032569, 101023, 13824, -3136, 5456
1589606032581, 101034, 13376, -4048, 5296
1589606032591, 101045, 12928, -5296, 4784
1589606032603, 101056, 12816, -6000, 3904
1589606032614, 101067, 12256, -6256, 2416
1589606032625, 101078, 12112, -5984, 528
1589606032636, 101089, 11616, -5312, -848
1589606032647, 101100, 11104, -4560, -2832
1589606032658, 101111, 11040, -3840, -4144
1589606032669, 101122, 11008, -1968, -5872
1589606032680, 101133, 11040, -160, -6960
1589606032691, 101144, 11184, 1440, -7296
1589606032702, 101155, 11200, 3392, -7360
1589606032713, 101166, 11520, 4912, -7344
1589606032724, 101177, 11776, 6160, -7360
1589606032734, 101188, 5936, -1, -1
1589606032746, 101199, 12544, 7120, -5344
1589606032757, 101210, 13632, 8976, -7008
1589606032766, 101220, 0, 1, 0
1589606032877, 101330, 0, 1960, 16380
1589606032889, 101341, 32576, -13616, 9360
1589606032899, 101352, 32640, -20080, 14544
1589606032911, 101363, 32640, -28752, 20816
1589606032921, 101374, 32640, -29072, 22128
1589606032932, 101385, 32640, -26736, 21264
1589606032943, 101396, 32640, -29024, 18784
1589606032954, 101407, 32640, -32064, 14848
1589606032965, 101418, 32640, -32608, 11056
1589606032976, 101429, 32640, -32624, 11104
1589606032987, 101440, 29584, -32592, 12832
1589606032998, 101451, 23456, -29264, 13344
1589606033009, 101462, 18704, -24304, 12464
1589606033020, 101473, 18032, -20448, 11200
1589606033031, 101484, 16976, -17504, 10432
1589606033042, 101495, 16896, -13920, 10784
1589606033053, 101506, 16960, -11456, 10736
1589606033064, 101517, 15744, -9968, 10896
1589606033075, 101528, 14096, -9952, 11008
1589606033086, 101539, 14400, -10928, 9296
1589606033097, 101550, 14672, -12272, 8032
1589606033108, 101561, 16976, -13584, 6832
1589606033119, 101572, 17088, -14736, 5792
1589606033130, 101583, 15552, -15456, 5552
1589606033141, 101594, 13568, -16496, 5696
1589606033152, 101605, 12144, -17200, 6144
1589606033163, 101616, 10976, -17520, 6464
1589606033174, 101627, 10176, -17152, 6464
1589606033185, 101638, 9968, -16464, 6528
1589606033196, 101649, 10016, -15568, 6384
1589606033207, 101660, 9872, -14640, 5840
1589606033218, 101671, 9344, -12768, 5920
1589606033229, 101682, 8496, -12144, 6192
