Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589605567803, 33208, -4112, -2544, 6240
1589605567814, 33219, -4112, -2560, 6224
1589605567825, 33230, -4080, -2592, 6272
1589605567836, 33241, -4064, -2512, 6240
1589605567847, 33252, -4096, -2448, 6304
1589605567858, 33263, -4128, -2560, 6336
1589605567869, 33274, -4064, -2592, 6336
1589605567879, 33285, -4064, -2672, 6368
1589605567890, 33296, -4096, -2624, 6352
1589605567901, 33307, -4016, -2688, 6176
1589605567912, 33318, -4048, -2608, 6192
1589605567924, 33329, -4048, -2576, 6064
1589605567934, 33340, -4000, -2672, 6000
1589605567945, 33351, -4048, -2544, 5840
1589605567956, 33362, -4032, -2624, 5744
1589605567968, 33373, -3904, -2592, 5632
1589605567979, 33384, -3728, -2592, 5248
1589605567990, 33395, -3680, -2640, 5280
1589605568001, 33406, -3440, -2704, 4912
1589605568012, 33417, -3360, -2688, 4672
1589605568023, 33428, -2848, -2784, 4320
1589605568034, 33439, -2512, -2928, 3904
1589605568045, 33450, -2112, -3072, 3600
1589605568056, 33461, -1792, -3216, 3008
1589605568067, 33472, -1328, -3488, 2880
1589605568078, 33483, -896, -3776, 2464
1589605568089, 33494, -816, -4096, 2256
1589605568100, 33505, 272, -4256, 2032
1589605568111, 33516, 1008, -4512, 1712
1589605568122, 33527, 1584, -4752, 1456
1589605568133, 33538, 2304, -5088, 1168
1589605568144, 33549, 2864, -5312, 688
1589605568155, 33560, 3488, -5568, 192
1589605568166, 33571, 3712, -6032, 16
1589605568177, 33582, 4880, -6256, -192
1589605568188, 33593, 5184, -6672, -448
1589605568199, 33604, 5392, -7040, -624
1589605568210, 33615, 5472, -7824, -912
1589605568221, 33626, 5280, -8528, -672
1589605568232, 33637, 4848, -9840, -496
1589605568242, 33648, 4736, -11152, -160
1589605568253, 33659, 2960, -12400, 144
1589605568264, 33670, 3040, -13520, 16
1589605568275, 33681, 4896, -14048, 640
1589605568286, 33692, 5632, -14560, 1920
1589605568297, 33703, 5888, -15056, 3344
