Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589606073917, 142371, 1536, -16, 7392
1589606073928, 142382, 1600, -48, 7200
1589606073939, 142393, 1536, -48, 7360
1589606073950, 142404, 1504, -128, 7328
1589606073961, 142415, 1488, -176, 7264
1589606073972, 142426, 1504, -304, 7248
1589606073984, 142437, 1552, -720, 7280
1589606073995, 142448, 1664, -1104, 7328
1589606074006, 142459, 1888, -1664, 7056
1589606074017, 142470, 2080, -2160, 7008
1589606074028, 142481, 2176, -2592, 6816
1589606074039, 142492, 2144, -3136, 6784
1589606074049, 142503, 1968, -3232, 6672
1589606074060, 142514, 1920, -3136, 6896
1589606074071, 142525, 2304, -2880, 7008
1589606074082, 142536, 2416, -2592, 7408
1589606074093, 142547, 2560, -2512, 7760
1589606074104, 142558, 2592, -2768, 8240
1589606074115, 142569, 2576, -2960, 8528
1589606074126, 142580, 2144, -3184, 8896
1589606074137, 142591, 2016, -3488, 9536
1589606074148, 142602, 1824, -3712, 10176
1589606074159, 142613, 1792, -3824, 11024
1589606074170, 142624, 2016, -3632, 11584
1589606074181, 142635, 2480, -2944, 12256
1589606074192, 142646, 3008, -2224, 12704
1589606074203, 142657, 3344, -1568, 13296
1589606074214, 142668, 3424, -752, 13968
1589606074225, 142679, 3456, -384, 14144
1589606074236, 142690, 3344, -112, 14128
1589606074247, 142701, 3008, -112, 14000
1589606074259, 142712, 2672, -320, 13968
1589606074269, 142723, 2672, -352, 13808
1589606074280, 142734, 2720, -192, 13584
1589606074291, 142745, 2704, 192, 13264
1589606074302, 142756, 3024, 464, 13280
1589606074313, 142767, 3248, 944, 13232
1589606074324, 142778, 3280, 1232, 12832
1589606074336, 142789, 3392, 1504, 12368
1589606074347, 142800, 3424, 1792, 11840
1589606074358, 142811, 3184, 2176, 11280
1589606074369, 142822, 3104, 2368, 11120
1589606074380, 142833, 2896, 2496, 11008
1589606074391, 142844, 2832, 2688, 10880
1589606074402, 142855, 2912, 3008, 10688
1589606074413, 142866, 3056, 3376, 10512
