Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589606140851, 209306, 464, 432, 7712
1589606140862, 209317, 560, 416, 7760
1589606140873, 209328, 672, 464, 7776
1589606140884, 209339, 608, 448, 7808
1589606140895, 209350, 528, 400, 7824
1589606140906, 209361, 544, 464, 7744
1589606140918, 209372, 496, 400, 7632
1589606140929, 209383, 576, 432, 7616
1589606140939, 209394, 448, 384, 7632
1589606140951, 209405, 528, 448, 7696
1589606140962, 209416, 528, 432, 7696
1589606140973, 209427, 544, 544, 7680
1589606140984, 209438, 592, 496, 7728
1589606140994, 209449, 560, 512, 7968
1589606141005, 209460, 592, 512, 7776
1589606141016, 209471, 640, 560, 7792
1589606141027, 209482, 560, 544, 7760
1589606141038, 209493, 624, 576, 7808
1589606141049, 209504, 608, 624, 7888
1589606141060, 209515, 656, 624, 7856
1589606141071, 209526, 608, 656, 8016
1589606141082, 209537, 528, 608, 7824
1589606141093, 209548, 464, 672, 7760
1589606141104, 209559, 464, 768, 7728
1589606141115, 209570, 384, 832, 7696
1589606141126, 209581, 368, 944, 7664
1589606141137, 209592, 352, 992, 7616
1589606141148, 209603, 208, 1024, 7520
1589606141159, 209614, 48, 1216, 7664
1589606141170, 209625, -16, 1424, 7696
1589606141181, 209636, -48, 1648, 7520
1589606141192, 209647, -384, 1920, 7504
1589606141203, 209658, -608, 2192, 7504
1589606141215, 209669, -608, 2464, 7392
1589606141226, 209680, -512, 2800, 7360
1589606141237, 209691, -240, 2944, 7664
1589606141247, 209702, 96, 3200, 8096
1589606141258, 209713, 256, 3536, 8528
1589606141270, 209724, 896, 3472, 9136
1589606141281, 209735, 1152, 3216, 9920
1589606141292, 209746, 1088, 2752, 10512
1589606141303, 209757, 992, 2128, 10688
1589606141314, 209768, 688, 1776, 10672
1589606141325, 209779, 512, 1120, 10976
1589606141336, 209790, 576, 576, 11616
1589606141347, 209801, 624, -64, 12192
1589606141358, 209812, 688, -784, 12672
1589606141368, 209823, 432, -1568, 12992
1589606141379, 209834, 208, -2272, 12944
1589606141390, 209845, 80, -2768, 12864
1589606141401, 209856, 176, -3280, 12384
1589606141412, 209867, 272, -3264, 12368
1589606141423, 209878, 288, -3424, 12128
1589606141434, 209889, 336, -3168, 11664
1589606141445, 209900, 704, -3120, 11376
1589606141456, 209911, 672, -2896, 10880
1589606141467, 209922, 592, -2752, 10320
1589606141478, 209933, 368, -2912, 9936
1589606141489, 209944, 368, -2928, 9712
1589606141500, 209955, -32, -3088, 9568
1589606141511, 209966, -32, -3408, 9744
1589606141522, 209977, -256, -3760, 9968
1589606141533, 209988, -336, -4160, 9840
1589606141544, 209999, -672, -4224, 9600
1589606141556, 210010, -1104, -4240, 9456
1589606141567, 210021, -1152, -4080, 8880
1589606141578, 210032, -1088, -3744, 8496
1589606141589, 210043, -1120, -3440, 8448
1589606141600, 210054, -624, -3360, 8400
1589606141611, 210065, -528, -3488, 8192
1589606141622, 210076, -592, -3504, 8000
1589606141633, 210087, -848, -3696, 7808
1589606141644, 210098, -1040, -3824, 7136
1589606141655, 210109, -1168, -3888, 6576
1589606141666, 210120, -1152, -3840, 6384
1589606141677, 210131, -1312, -3824, 6128
1589606141688, 210142, -1520, -3744, 5712
1589606141699, 210153, -1712, -3696, 5392
1589606141710, 210164, -1776, -3616, 4992
1589606141721, 210175, -1936, -3552, 4720
1589606141732, 210186, -2016, -3632, 4480
1589606141743, 210197, -2144, -3648, 4192
1589606141753, 210208, -2288, -3536, 3872
1589606141764, 210219, -2432, -3344, 3376
1589606141775, 210230, -2544, -3040, 2960
1589606141786, 210241, -2576, -2880, 2624
1589606141797, 210252, -2752, -2832, 2528
1589606141808, 210263, -2944, -2896, 2640
1589606141819, 210274, -3024, -2912, 2448
1589606141830, 210285, -3344, -2912, 2336
1589606141841, 210296, -3472, -2576, 2192
1589606141852, 210307, -3632, -2592, 2144
1589606141863, 210318, -3824, -2544, 2192
1589606141874, 210329, -3984, -2496, 2336
1589606141885, 210340, -4176, -2608, 2208
1589606141897, 210351, -4336, -2640, 2400
1589606141908, 210362, -4512, -2624, 2464
1589606141919, 210373, -4432, -2448, 2544
1589606141930, 210384, -4624, -2368, 2432
1589606141941, 210395, -4576, -2112, 2544
1589606141952, 210406, -4576, -1984, 2496
1589606141963, 210417, -4560, -1792, 2560
1589606141974, 210428, -4608, -1728, 2576
1589606141985, 210439, -4496, -1840, 2672
1589606141996, 210450, -4544, -2080, 2800
1589606142007, 210461, -4640, -2208, 2800
1589606142018, 210472, -4848, -2208, 2736
1589606142029, 210483, -4896, -2128, 2896
1589606142040, 210494, -4880, -2160, 3024
1589606142051, 210505, -4944, -2144, 2880
1589606142062, 210516, -4848, -2160, 2896
1589606142073, 210527, -4944, -2128, 2976
1589606142084, 210538, -4848, -2096, 3008
1589606142095, 210549, -4864, -1888, 3008
1589606142106, 210560, -4832, -1792, 3024
1589606142117, 210571, -4784, -1664, 3072
1589606142128, 210582, -4656, -1680, 3360
1589606142138, 210593, -4544, -1600, 3392
1589606142149, 210604, -4560, -1360, 3440
1589606142160, 210615, -4320, -1088, 3376
1589606142171, 210626, -4368, -656, 3424
1589606142182, 210637, -4304, -464, 3424
1589606142193, 210648, -4208, -176, 3232
1589606142204, 210659, -4096, -64, 3616
1589606142215, 210670, -4000, -144, 3760
1589606142226, 210681, -3920, -320, 4080
1589606142237, 210692, -3616, -288, 4288
1589606142248, 210703, -3440, -240, 4432
1589606142259, 210714, -3584, -144, 4496
1589606142270, 210725, -3680, 128, 4496
1589606142281, 210736, -3744, 432, 4416
1589606142292, 210747, -3696, 608, 4352
1589606142303, 210758, -3680, 736, 4384
1589606142315, 210769, -3200, 736, 4432
1589606142325, 210780, -2912, 736, 4432
1589606142337, 210791, -2928, 688, 4640
1589606142348, 210802, -3152, 608, 5200
1589606142359, 210813, -3216, 608, 5200
1589606142370, 210824, -3408, 1024, 4960
1589606142381, 210835, -3440, 1392, 5104
1589606142392, 210846, -3232, 1584, 5056
1589606142403, 210857, -2880, 1392, 5440
1589606142414, 210868, -2720, 976, 5968
1589606142425, 210879, -2608, 320, 6624
1589606142436, 210890, -2640, -160, 7072
1589606142447, 210901, -2928, -112, 7376
1589606142458, 210912, -2960, 464, 7056
1589606142469, 210923, -3072, 1152, 6656
1589606142480, 210934, -2832, 1952, 6352
1589606142491, 210945, -2368, 2240, 6448
1589606142501, 210956, -1808, 1760, 7248
1589606142512, 210967, -1568, 1008, 7968
1589606142523, 210978, -1600, -32, 9024
1589606142534, 210989, -1568, -864, 9360
