Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589606193145, 261600, -2720, -976, 7568
1589606193156, 261611, -2704, -1072, 7536
1589606193167, 261622, -2688, -1136, 7632
1589606193178, 261633, -2720, -1120, 7488
1589606193189, 261644, -2704, -1072, 7472
1589606193200, 261655, -2720, -992, 7488
1589606193211, 261666, -2672, -928, 7456
1589606193222, 261677, -2784, -1008, 7456
1589606193233, 261688, -2640, -992, 7472
1589606193244, 261699, -2720, -992, 7584
1589606193255, 261710, -2752, -960, 7488
1589606193266, 261721, -2656, -1040, 7520
1589606193277, 261732, -2528, -992, 7440
1589606193288, 261743, -2608, -944, 7392
1589606193299, 261754, -2624, -896, 7344
1589606193310, 261765, -2592, -848, 7312
1589606193321, 261776, -2608, -752, 7136
1589606193332, 261787, -2544, -752, 7328
1589606193343, 261798, -2496, -752, 7280
1589606193354, 261809, -2560, -704, 7376
1589606193364, 261820, -2544, -720, 7376
1589606193375, 261831, -2528, -656, 7312
1589606193387, 261842, -2592, -768, 7280
1589606193397, 261853, -2544, -880, 7200
1589606193408, 261864, -2624, -720, 7392
1589606193420, 261875, -2576, -704, 7408
1589606193431, 261886, -2528, -672, 7360
1589606193442, 261897, -2560, -688, 7376
1589606193453, 261908, -2624, -752, 7408
1589606193464, 261919, -2640, -720, 7408
1589606193475, 261930, -2656, -688, 7360
1589606193486, 261941, -2608, -688, 7456
1589606193497, 261952, -2640, -640, 7504
1589606193508, 261963, -2672, -608, 7520
1589606193519, 261974, -2592, -592, 7456
1589606193530, 261985, -2624, -560, 7600
1589606193541, 261996, -2688, -624, 7616
1589606193552, 262007, -2816, -592, 7632
1589606193563, 262018, -2896, -608, 7632
1589606193574, 262029, -2960, -656, 7424
1589606193585, 262040, -2848, -496, 7552
1589606193596, 262051, -3216, -512, 7440
1589606193607, 262062, -3328, -288, 7440
1589606193618, 262073, -3280, -208, 7696
1589606193629, 262084, -3296, 0, 7984
1589606193640, 262095, -3136, 336, 7984
1589606193651, 262106, -2944, 848, 8272
1589606193662, 262117, -2912, 1296, 8144
1589606193673, 262128, -2368, 1744, 8112
1589606193684, 262139, -2416, 2128, 8128
1589606193695, 262150, -1920, 2272, 8144
1589606193706, 262161, -1792, 2576, 7904
1589606193717, 262172, -1472, 2960, 7728
1589606193728, 262183, -1120, 3376, 7504
1589606193738, 262194, -1040, 3744, 7296
1589606193749, 262205, 192, 4368, 6784
1589606193760, 262216, 448, 5536, 6304
1589606193771, 262227, 1808, 6528, 6464
1589606193782, 262238, 2352, 7152, 7200
1589606193793, 262249, 2992, 7664, 7296
1589606193804, 262260, 3456, 8208, 6896
1589606193816, 262271, 3584, 8576, 6320
1589606193827, 262282, 3712, 8752, 5872
1589606193837, 262293, 3680, 8752, 5600
1589606193849, 262304, 3920, 8400, 5632
1589606193860, 262315, 4096, 7952, 6016
1589606193871, 262326, 4112, 7456, 6368
1589606193882, 262337, 4256, 6784, 7184
1589606193893, 262348, 4432, 6320, 7776
1589606193904, 262359, 4576, 5872, 8560
1589606193915, 262370, 4560, 5296, 9136
1589606193926, 262381, 5680, 4928, 9440
1589606193937, 262392, 5920, 4464, 9392
1589606193948, 262403, 6176, 3824, 9328
1589606193959, 262414, 6640, 3088, 9312
1589606193970, 262425, 7168, 2256, 9408
1589606193981, 262436, 7440, 1248, 9440
1589606193992, 262447, 7584, -352, 9728
1589606194003, 262458, 7904, -2112, 9760
1589606194014, 262469, 7648, -4400, 9696
1589606194025, 262480, 7344, -6096, 9360
1589606194036, 262491, 6592, -8304, 8144
1589606194047, 262502, 5024, -10384, 7504
1589606194058, 262513, 2880, -12320, 7024
1589606194069, 262524, 2416, -13168, 6960
1589606194080, 262535, -416, -13680, 6928
1589606194091, 262546, -704, -13312, 6832
1589606194102, 262557, -688, -12672, 6864
1589606194112, 262568, -160, -11968, 7072
1589606194123, 262579, 96, -11472, 7232
1589606194135, 262590, 496, -10976, 6800
1589606194145, 262601, 656, -10704, 5808
1589606194156, 262612, 432, -10672, 5104
1589606194168, 262623, 464, -10384, 4944
1589606194178, 262634, 16, -10144, 4944
1589606194190, 262645, 304, -9824, 4832
1589606194201, 262656, 528, -9568, 4832
1589606194212, 262667, 752, -9312, 4912
1589606194223, 262678, 1024, -9104, 5136
1589606194234, 262689, 1248, -9088, 5360
1589606194245, 262700, 1360, -9280, 5296
1589606194256, 262711, 992, -9664, 4992
1589606194267, 262722, 448, -10048, 5024
1589606194278, 262733, 480, -9872, 5200
1589606194289, 262744, 784, -9376, 5264
1589606194300, 262755, 1344, -8928, 5296
1589606194311, 262766, 1968, -8384, 4992
1589606194322, 262777, 2160, -7696, 4464
1589606194333, 262788, 3328, -6960, 4304
1589606194344, 262799, 3552, -6224, 4192
1589606194355, 262810, 3520, -5808, 4176
1589606194366, 262821, 3376, -5536, 3920
1589606194377, 262832, 3440, -5424, 4000
1589606194388, 262843, 3456, -5312, 4048
1589606194399, 262854, 3552, -5104, 4176
1589606194410, 262865, 3408, -4768, 4336
1589606194421, 262876, 3376, -4176, 4288
1589606194432, 262887, 3680, -3872, 4432
1589606194443, 262898, 3904, -3376, 4800
1589606194454, 262909, 4128, -3008, 5312
1589606194465, 262920, 5072, -3040, 6080
1589606194476, 262931, 5456, -3104, 7008
1589606194486, 262942, 8288, -3120, 7776
1589606194497, 262953, 8736, -2464, 8368
1589606194509, 262964, 11920, -1216, 8976
1589606194519, 262975, 13056, 688, 9696
1589606194531, 262986, 13856, 1952, 10464
1589606194542, 262997, 14576, 3328, 11648
1589606194553, 263008, 14832, 4256, 12400
1589606194564, 263019, 15392, 4896, 12896
1589606194575, 263030, 15296, 5648, 13104
1589606194586, 263041, 13424, 6256, 13056
1589606194597, 263052, 12416, 6928, 12288
1589606194608, 263063, 11872, 7264, 11536
1589606194619, 263074, 11344, 7632, 11024
1589606194630, 263085, 10976, 7840, 10848
1589606194641, 263096, 10848, 8000, 11296
1589606194652, 263107, 10736, 8272, 11920
1589606194663, 263118, 10256, 8480, 12240
1589606194674, 263129, 9968, 8576, 12080
1589606194685, 263140, 9616, 8512, 11680
1589606194696, 263151, 8880, 8336, 11312
1589606194707, 263162, 8384, 8016, 11040
1589606194718, 263173, 8144, 7808, 10544
1589606194729, 263184, 8064, 7472, 10224
1589606194740, 263195, 7360, 7136, 10144
1589606194751, 263206, 7072, 6688, 10080
1589606194762, 263217, 6944, 6272, 10032
1589606194773, 263228, 6832, 5680, 9776
1589606194784, 263239, 6976, 5328, 9408
1589606194795, 263250, 7136, 4944, 9040
1589606194806, 263261, 7136, 4592, 8752
1589606194817, 263272, 8064, 4464, 8656
1589606194828, 263283, 8512, 4448, 8640
1589606194839, 263294, 9136, 4176, 8688
1589606194850, 263305, 9808, 3632, 8544
1589606194860, 263316, 10064, 3200, 8592
1589606194871, 263327, 10448, 2672, 8320
1589606194882, 263338, 10512, 2096, 8368
1589606194894, 263349, 11216, 1520, 8224
1589606194904, 263360, 12304, 944, 8080
1589606194915, 263371, 13232, 304, 8064
1589606194927, 263382, 14176, -1296, 8208
1589606194938, 263393, 14768, -2928, 8320
1589606194949, 263404, 15216, -4832, 8208
1589606194960, 263415, 15280, -7360, 8560
1589606194971, 263426, 15568, -9024, 8880
1589606194982, 263437, 15632, -10640, 9168
1589606194993, 263448, 14080, -11600, 9520
1589606195004, 263459, 11968, -12480, 9824
1589606195015, 263470, 10192, -12864, 9504
1589606195026, 263481, 8704, -12544, 8880
1589606195037, 263492, 8352, -11904, 7952
1589606195048, 263503, 6464, -11216, 6800
1589606195059, 263514, 6320, -10224, 4800
1589606195070, 263525, 4560, -9344, 3760
1589606195081, 263536, 3696, -8224, 3360
1589606195092, 263547, 3440, -7392, 3584
1589606195103, 263558, 3696, -6688, 4080
1589606195114, 263569, 3744, -6464, 4992
1589606195125, 263580, 3744, -6256, 5456
1589606195136, 263591, 3552, -6016, 5792
1589606195147, 263602, 3296, -5856, 5904
1589606195158, 263613, 3088, -5472, 6160
1589606195169, 263624, 2864, -5088, 6528
1589606195180, 263635, 2496, -4448, 8000
1589606195191, 263646, 2640, -4240, 7632
1589606195202, 263657, 2480, -4000, 7712
1589606195213, 263668, 2480, -3408, 8080
1589606195223, 263679, 1968, -3088, 8144
1589606195234, 263690, 1808, -2416, 8272
1589606195246, 263701, 1568, -1840, 8208
1589606195256, 263712, 1408, -1296, 8080
1589606195267, 263723, 1024, -928, 7952
1589606195278, 263734, 864, -656, 7856
1589606195289, 263745, 672, -224, 7712
1589606195300, 263756, 704, 64, 7568
1589606195311, 263767, 656, 464, 7264
1589606195322, 263778, 736, 688, 7216
1589606195334, 263789, 1008, 1040, 7232
1589606195345, 263800, 1360, 1008, 7424
1589606195356, 263811, 1712, 1280, 7536
1589606195367, 263822, 1728, 1744, 7488
1589606195378, 263833, 2448, 1984, 7520
1589606195389, 263844, 2720, 2496, 7616
1589606195400, 263855, 2928, 2800, 7584
1589606195411, 263866, 3088, 2784, 7568
1589606195422, 263877, 3056, 2880, 7440
1589606195433, 263888, 2992, 2992, 7232
1589606195444, 263899, 2960, 3024, 7184
1589606195455, 263910, 2768, 2848, 7328
1589606195466, 263921, 2800, 2832, 7264
1589606195477, 263932, 2304, 2672, 7456
1589606195488, 263943, 2480, 2480, 7664
1589606195499, 263954, 2384, 2464, 7600
1589606195510, 263965, 2304, 2384, 7840
1589606195521, 263976, 2288, 2368, 7920
1589606195532, 263987, 2352, 2320, 8032
1589606195543, 263998, 2288, 2320, 8064
1589606195554, 264009, 2480, 2256, 8048
1589606195565, 264020, 2480, 2352, 8144
1589606195576, 264031, 2400, 2320, 8000
1589606195587, 264042, 2384, 2240, 8000
1589606195597, 264053, 2288, 2224, 7808
1589606195608, 264064, 2272, 2128, 7712
1589606195619, 264075, 2304, 1952, 7520
1589606195630, 264086, 2256, 1920, 7408
1589606195641, 264097, 2224, 1888, 7296
1589606195652, 264108, 2192, 1920, 7312
1589606195663, 264119, 2128, 1920, 7376
1589606195674, 264130, 2112, 1888, 7264
1589606195686, 264141, 2128, 1952, 7248
1589606195697, 264152, 2176, 1920, 7392
1589606195708, 264163, 2144, 1920, 7488
1589606195719, 264174, 2176, 1792, 7696
1589606195730, 264185, 2112, 1744, 7648
1589606195741, 264196, 2224, 1712, 7744
1589606195752, 264207, 2288, 1696, 7824
1589606195763, 264218, 2240, 1792, 7856
1589606195774, 264229, 2256, 2000, 7920
1589606195785, 264240, 2256, 1936, 7888
1589606195796, 264251, 2272, 1824, 7696
