Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589606240471, 308927, -3200, -4752, 5024
1589606240482, 308938, -3104, -4720, 5248
1589606240493, 308949, -3200, -4672, 5632
1589606240504, 308960, -3088, -4752, 5664
1589606240515, 308971, -3200, -4704, 5840
1589606240526, 308982, -3024, -4896, 6240
1589606240537, 308993, -2688, -5024, 6592
1589606240548, 309004, -2528, -4992, 7168
1589606240559, 309015, -2432, -5280, 7712
1589606240570, 309026, -2496, -5456, 8224
1589606240581, 309037, -2624, -5808, 8496
1589606240592, 309048, -2272, -5968, 8768
1589606240603, 309059, -2048, -6160, 8976
1589606240614, 309070, -1744, -6400, 8976
1589606240625, 309081, -1424, -6736, 8592
1589606240636, 309092, -1200, -7200, 8288
1589606240647, 309103, -1120, -8080, 7488
1589606240658, 309114, -992, -8736, 6976
1589606240670, 309125, -1536, -9680, 6416
1589606240681, 309136, -1632, -10816, 5936
1589606240692, 309147, -2816, -11872, 5824
1589606240703, 309158, -3248, -13072, 5776
1589606240714, 309169, -3600, -13936, 5344
1589606240725, 309180, -3632, -14272, 4224
1589606240736, 309191, -3616, -14112, 3472
1589606240747, 309202, -2400, -13616, 2784
1589606240758, 309213, -2288, -13072, 2400
1589606240769, 309224, -1680, -12784, 2288
1589606240780, 309235, -1616, -12608, 2272
1589606240791, 309246, -1840, -12480, 2144
1589606240802, 309257, -2112, -12320, 2080
1589606240813, 309268, -2128, -11760, 1680
1589606240824, 309279, -1776, -11232, 1168
1589606240835, 309290, -1792, -10480, 512
1589606240846, 309301, -1280, -9984, 0
1589606240857, 309312, -1168, -9360, -560
1589606240867, 309323, -1296, -8896, -816
1589606240878, 309334, -1440, -8528, -496
1589606240889, 309345, -1552, -8384, -464
1589606240900, 309356, -1632, -8288, -272
1589606240911, 309367, -1744, -8256, -384
1589606240922, 309378, -1600, -8176, -560
1589606240933, 309389, -1664, -8064, -816
1589606240944, 309400, -1760, -7936, -1136
1589606240955, 309411, -1968, -7808, -1088
1589606240966, 309422, -2144, -7680, -1424
1589606240977, 309433, -2240, -7440, -1408
1589606240988, 309444, -2192, -6976, -1632
1589606240999, 309455, -2592, -6672, -1760
1589606241010, 309466, -2752, -6208, -1856
1589606241022, 309477, -2816, -5824, -2016
1589606241032, 309488, -2864, -5264, -2128
1589606241044, 309499, -2736, -4800, -2240
1589606241055, 309510, -2736, -4432, -2208
1589606241066, 309521, -2656, -3968, -2176
1589606241077, 309532, -2672, -3600, -2080
1589606241088, 309543, -2720, -3280, -1840
1589606241099, 309554, -2752, -3104, -1712
1589606241110, 309565, -2768, -2720, -1648
1589606241121, 309576, -2976, -2352, -1776
1589606241132, 309587, -2896, -1952, -1488
1589606241143, 309598, -2848, -1456, -1536
1589606241154, 309609, -2560, -1088, -1360
1589606241165, 309620, -2256, -720, -1056
1589606241176, 309631, -2288, -416, -864
1589606241187, 309642, -2352, -80, -352
1589606241198, 309653, -2432, 176, -272
1589606241209, 309664, -2528, 480, 320
1589606241219, 309675, -2656, 816, 448
1589606241230, 309686, -2176, 992, 624
1589606241241, 309697, -2192, 1056, 944
1589606241252, 309708, -2592, 1072, 1152
1589606241263, 309719, -3024, 960, 1456
1589606241274, 309730, -3456, 1056, 1760
1589606241285, 309741, -3632, 1136, 2016
1589606241296, 309752, -3648, 1216, 2496
1589606241307, 309763, -3648, 1312, 3008
1589606241318, 309774, -3680, 1552, 3664
1589606241329, 309785, -3248, 1840, 4048
1589606241340, 309796, -3344, 2224, 4560
1589606241351, 309807, -3392, 2560, 4992
1589606241362, 309818, -3216, 2944, 5440
1589606241373, 309829, -3136, 3152, 5808
1589606241384, 309840, -2992, 3312, 6048
1589606241395, 309851, -2944, 3360, 6608
1589606241406, 309862, -2928, 3488, 7120
1589606241417, 309873, -2880, 3568, 7568
1589606241428, 309884, -2848, 3760, 7760
1589606241439, 309895, -2800, 4032, 8112
1589606241450, 309906, -2512, 4288, 8048
1589606241461, 309917, -2320, 4800, 8448
1589606241473, 309928, -2208, 5312, 8528
1589606241483, 309939, -1728, 5872, 8880
1589606241494, 309950, -1120, 6400, 9440
1589606241506, 309961, -736, 6576, 9952
1589606241517, 309972, -432, 6272, 10848
1589606241528, 309983, -208, 5696, 11392
1589606241539, 309994, -160, 4704, 12016
1589606241550, 310005, -144, 3776, 12288
1589606241561, 310016, -400, 3216, 12352
1589606241572, 310027, -528, 2720, 11920
1589606241583, 310038, -560, 2656, 11424
1589606241593, 310049, -672, 2928, 10560
1589606241604, 310060, -592, 2832, 10432
1589606241615, 310071, -496, 2176, 10400
1589606241626, 310082, -528, 1056, 10304
1589606241637, 310093, -832, -400, 10608
1589606241648, 310104, -896, -2192, 10496
1589606241659, 310115, -1264, -3152, 10128
1589606241670, 310126, -1568, -3552, 9152
1589606241681, 310137, -1488, -3328, 8336
1589606241692, 310148, -1424, -2784, 7552
1589606241703, 310159, -1472, -2384, 6992
1589606241714, 310170, -1152, -2576, 6864
1589606241725, 310181, -1168, -3360, 7184
1589606241736, 310192, -800, -4256, 7568
1589606241747, 310203, -752, -5280, 7872
1589606241758, 310214, -816, -6224, 8048
1589606241769, 310225, -896, -7168, 8256
1589606241780, 310236, -1520, -7456, 8000
