Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589605998572, 67026, 0, 1, 0
1589605998583, 67037, 0, 1960, 16380
1589605998595, 67048, -7072, -208, 4016
1589605998606, 67059, -7104, -240, 4064
1589605998617, 67070, -7056, -272, 4144
1589605998628, 67081, -7168, -272, 4144
1589605998639, 67092, -7200, -272, 4144
1589605998650, 67103, -7200, -368, 4096
1589605998661, 67114, -7280, -496, 4080
1589605998672, 67125, -7392, -544, 4096
1589605998683, 67136, -7440, -512, 4048
1589605998694, 67147, -7584, -528, 3728
1589605998705, 67158, -7632, -256, 4064
1589605998716, 67169, -7888, 32592, -1
1589605998727, 67180, 28816, -1, -1
1589605998738, 67191, -8192, -112, 4224
1589605998749, 67202, -8352, -416, 3776
1589605998761, 67213, -8624, -448, 3632
1589605998771, 67224, -8768, -48, 3904
1589605998783, 67235, -9056, -400, 3856
1589605998793, 67246, -9136, -560, 3664
1589605998805, 67257, -9776, -1264, 3216
1589605998816, 67268, -10176, -1024, 2896
1589605998826, 67279, -8816, 48, 3504
1589605998837, 67290, -9456, 192, 3536
1589605998849, 67301, -10192, -240, 3120
1589605998860, 67312, -10352, -160, 2912
1589605998871, 67323, -9872, 64, 2528
1589605998881, 67334, -9824, 336, 1904
1589605998892, 67345, -9072, 624, 1392
1589605998903, 67356, -8720, 752, 464
1589605998914, 67367, -8608, 928, -240
1589605998925, 67378, -8624, 992, -1328
1589605998934, 67388, 0, 1, 0
1589605998946, 67399, -8576, 1248, -2128
1589605998957, 67410, -7696, 1200, -2432
1589605998968, 67421, -7696, 1280, -2624
1589605998979, 67432, -6800, 1296, -2768
1589605998990, 67443, -6240, 1536, -2800
1589605999001, 67454, -5744, 1840, -2752
1589605999010, 67464, 0, 1, 0
1589605999121, 67574, 0, 1960, 16380
1589605999132, 67585, 992, -400, -1152
1589605999143, 67596, 1760, -896, -1008
1589605999154, 67607, 2016, -1248, -800
1589605999165, 67618, 3120, -1360, -416
1589605999176, 67629, 3936, -1616, 32
1589605999187, 67640, 4480, -1840, 240
1589605999198, 67651, 5264, -2016, 960
1589605999210, 67662, 5504, -2272, 1872
1589605999221, 67673, 7024, -2624, 2784
1589605999231, 67684, 7152, -3104, 3872
1589605999243, 67695, 8128, -3504, 4592
1589605999254, 67706, 8656, -3920, 5728
1589605999264, 67717, 9440, -4288, 6224
1589605999275, 67728, 9904, -4640, 6896
1589605999286, 67739, 9840, -4752, 6976
1589605999297, 67750, 10176, -4944, 7248
1589605999308, 67761, 10192, -5200, 7456
1589605999319, 67772, 10544, -5472, 7472
1589605999330, 67783, 10960, -5792, 7664
1589605999341, 67794, 11264, -6096, 7936
1589605999352, 67805, 11520, -6496, 8576
1589605999363, 67816, 12256, -7008, 8528
1589605999374, 67827, 12880, -7632, 8768
1589605999385, 67838, 12976, -8160, 9040
1589605999396, 67849, 14336, -8608, 9424
1589605999407, 67860, 14928, -9024, 9680
1589605999418, 67871, 15280, -9168, 9920
1589605999429, 67882, 15872, -9376, 10112
1589605999440, 67893, 16528, -9520, 10192
1589605999451, 67904, 17152, -9632, 10144
1589605999462, 67915, 17360, -9856, 10128
1589605999473, 67926, 18368, -10160, 9712
1589605999484, 67937, 18368, -10560, 9664
1589605999495, 67948, 18112, -11024, 9792
1589605999507, 67959, 17776, -11648, 10064
1589605999518, 67970, 17392, -11824, 10592
1589605999529, 67981, 16896, -11936, 11024
1589605999540, 67992, 16656, -11648, 11200
1589605999551, 68003, 15200, -11248, 11152
1589605999562, 68014, 14048, -10304, 11040
1589605999573, 68025, 13328, -9840, 10864
1589605999584, 68036, 12432, -9424, 10640
1589605999595, 68047, 11680, -9040, 10304
1589605999606, 68058, 10944, -8432, 9504
1589605999617, 68069, 10688, -7760, 8720
1589605999628, 68080, 9984, -7152, 8128
1589605999638, 68091, 9456, -6304, 7424
1589605999649, 68102, 8752, -5344, 7104
1589605999660, 68113, 8048, -4384, 6928
1589605999671, 68124, 7616, -3840, 7200
1589605999682, 68135, 7072, -3312, 7376
