Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589674037259, 202494, 5584, -5824, 576
1589674037270, 202505, 5504, -5888, 560
1589674037281, 202516, 5440, -5936, 624
1589674037292, 202527, 5520, -5936, 592
1589674037303, 202538, 5488, -5952, 624
1589674037313, 202549, 5568, -5984, 656
1589674037326, 202560, 5440, -5904, 688
1589674037337, 202571, 5472, -5888, 672
1589674037347, 202582, 5440, -5904, 640
1589674037358, 202593, 5520, -5952, 592
1589674037369, 202604, 5488, -5872, 592
1589674037379, 202615, 5456, -5952, 624
1589674037393, 202626, 5488, -5872, 624
1589674037402, 202637, 5536, -5872, 640
1589674037412, 202648, 5440, -5888, 512
1589674037424, 202659, 5504, -5872, 624
1589674037435, 202670, 5504, -5904, 576
1589674037446, 202681, 5520, -5920, 640
1589674037457, 202692, 5424, -5920, 624
1589674037467, 202703, 5552, -5872, 560
1589674037479, 202714, 5488, -5888, 608
1589674037489, 202725, 5472, -5904, 592
1589674037501, 202736, 5456, -5920, 752
1589674037512, 202747, 5424, -5920, 608
1589674037523, 202758, 5456, -5904, 624
1589674037534, 202769, 5488, -5920, 528
1589674037545, 202780, 5488, -5920, 320
1589674037556, 202791, 5504, -6000, 432
1589674037568, 202802, 5488, -5920, 608
1589674037579, 202813, 5520, -5856, 736
1589674037588, 202824, 5472, -5888, 672
1589674037601, 202835, 5488, -5968, 816
1589674037610, 202846, 5584, -6144, 528
1589674037621, 202857, 5520, -6096, 608
1589674037633, 202868, 5648, -6144, -32
1589674037645, 202879, 5600, -6032, 384
1589674037655, 202890, 5680, -6000, 288
