Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589673882038, 47270, -2960, -6320, 3712
1589673882050, 47281, -3040, -6336, 3696
1589673882060, 47292, -3088, -6240, 3504
1589673882072, 47303, -3248, -6064, 3392
1589673882082, 47314, -3056, -5904, 3776
1589673882094, 47325, -2912, -5408, 4224
1589673882105, 47336, -3200, -5536, 3120
1589673882115, 47347, -3232, -5648, 3888
1589673882126, 47358, -3216, -5488, 4096
1589673882137, 47369, -3376, -5264, 4176
1589673882148, 47380, -3472, -4944, 4176
1589673882159, 47391, -3488, -5088, 4240
1589673882170, 47402, -3856, -5184, 4112
1589673882181, 47413, -3904, -5296, 3968
1589673882192, 47424, -3920, -5504, 3968
1589673882203, 47435, -3712, -5520, 4048
1589673882216, 47446, -3632, -5600, 3776
1589673882225, 47457, -3664, -5648, 3632
1589673882236, 47468, -3680, -5584, 3616
1589673882248, 47479, -3760, -5392, 3840
1589673882258, 47490, -3728, -5088, 3856
1589673882269, 47501, -4224, -4960, 4096
1589673882280, 47512, -4640, -4896, 4448
1589673882291, 47523, -4720, -4912, 4464
1589673882302, 47534, -5008, -4928, 4640
1589673882313, 47545, -4848, -4896, 4608
1589673882324, 47556, -4800, -5152, 4320
1589673882335, 47567, -4784, -5344, 3856
1589673882345, 47578, -4976, -5776, 3872
1589673882358, 47589, -5200, -6112, 3808
1589673882369, 47600, -5616, -6352, 3760
1589673882379, 47611, -6144, -6480, 4224
1589673882390, 47622, -6544, -6672, 4960
1589673882401, 47633, -7136, -6992, 5648
1589673882412, 47644, -8144, -7840, 6576
1589673882423, 47655, -9264, -8544, 7328
1589673882434, 47666, -10256, -9472, 8064
1589673882444, 47677, -11008, -9648, 9488
1589673882456, 47688, -11200, -9328, 10960
1589673882469, 47699, -11440, -8960, 11520
1589673882478, 47710, -11552, -8768, 11888
1589673882489, 47721, -11600, -9008, 11776
1589673882502, 47732, -11408, -9136, 11520
1589673882511, 47743, -10832, -8960, 11232
1589673882522, 47754, -10112, -8336, 10752
1589673882535, 47765, -9136, -7360, 10208
1589673882545, 47776, -7616, -6128, 9360
1589673882555, 47787, -6560, -5232, 8208
1589673882567, 47798, -5712, -4864, 7088
1589673882577, 47809, -4688, -4144, 5856
1589673882588, 47820, -3728, -3584, 4800
1589673882598, 47831, -2864, -2656, 4048
1589673882610, 47842, -1792, -1536, 3456
1589673882623, 47853, -800, -944, 2896
1589673882631, 47864, -224, -528, 2528
1589673882643, 47875, -128, -192, 1664
1589673882656, 47886, 192, -64, 1072
1589673882664, 47897, 224, 0, 592
1589673882676, 47908, 208, 0, -256
1589673882688, 47919, 448, -336, -704
1589673882699, 47930, 560, -768, -880
1589673882709, 47941, 672, -1232, -1120
1589673882720, 47952, 720, -1200, -1392
1589673882730, 47963, 624, -944, -1776
1589673882742, 47974, 544, -688, -2304
1589673882754, 47985, 432, -656, -2784
1589673882764, 47996, 208, -832, -3088
1589673882774, 48007, 96, -928, -3504
1589673882786, 48018, -272, -720, -3712
1589673882798, 48030, -320, -704, -3728
1589673882812, 48042, -656, -912, -3568
1589673882821, 48054, -608, -1152, -3568
1589673882834, 48066, -1232, -1184, -3440
1589673882846, 48078, -1264, -1504, -4192
1589673882859, 48090, -1312, -2096, -4064
1589673882870, 48102, -1328, -2176, -4096
1589673882886, 48114, -1264, -2384, -3664
1589673882894, 48126, -960, -3120, -2800
1589673882906, 48138, -832, -3888, -2192
1589673882918, 48150, -816, -5408, -3008
1589673882930, 48162, -1056, -6768, -3984
1589673882941, 48174, -848, -7792, -3744
1589673882954, 48186, -1072, -8208, -3296
1589673882966, 48198, -992, -8512, -2224
1589673882979, 48210, -160, -8144, -592
1589673882990, 48222, 576, -7712, 144
1589673883000, 48233, 512, -8512, -912
1589673883012, 48244, 736, -10608, -2752
1589673883023, 48255, 1136, -14464, -5248
1589673883033, 48266, 2064, -17888, -7792
1589673883045, 48277, 2640, -21264, -9600
1589673883056, 48288, 4016, -26448, -10272
1589673883069, 48299, 4976, -30480, -8576
1589673883077, 48310, 5056, -32480, -6096
1589673883089, 48321, 6112, -32624, -1312
1589673883101, 48332, 8896, -32624, 4352
1589673883111, 48343, 12208, -32624, 9760
1589673883123, 48354, 15664, -31568, 17856
1589673883134, 48365, 16176, -27184, 24896
1589673883145, 48376, 15088, -23040, 29216
1589673883155, 48387, 10720, -18880, 31040
1589673883167, 48398, 9408, -14176, 32240
1589673883177, 48409, 7792, -8960, 32592
