Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589673986630, 151864, -1440, -7616, 2160
1589673986641, 151875, -1392, -7584, 2032
1589673986652, 151886, -1376, -7632, 2048
1589673986664, 151897, -1408, -7600, 2128
1589673986674, 151908, -1392, -7584, 2128
1589673986685, 151919, -1440, -7600, 2144
1589673986697, 151930, -1456, -7664, 2096
1589673986708, 151941, -1280, -7616, 2096
1589673986717, 151952, -1408, -7584, 2160
1589673986729, 151963, -1424, -7552, 2080
1589673986742, 151974, -1408, -7520, 2064
1589673986750, 151985, -1408, -7472, 2080
1589673986762, 151996, -1408, -7504, 2160
1589673986774, 152007, -1520, -7520, 2128
1589673986786, 152018, -1360, -7520, 2208
1589673986795, 152029, -1408, -7440, 2176
1589673986808, 152040, -1424, -7424, 2272
1589673986817, 152051, -1376, -7488, 2272
1589673986828, 152062, -1360, -7488, 2384
1589673986839, 152073, -1296, -7472, 2288
1589673986850, 152084, -1296, -7456, 2192
1589673986862, 152095, -1280, -7408, 2176
1589673986872, 152106, -1280, -7392, 2144
1589673986883, 152117, -1248, -7392, 2048
1589673986895, 152128, -1280, -7440, 2016
1589673986905, 152139, -1232, -7376, 2016
1589673986917, 152150, -1248, -7264, 1888
1589673986928, 152161, -1216, -7152, 1968
1589673986938, 152172, -1136, -7120, 1952
1589673986949, 152183, -864, -7104, 1936
1589673986959, 152194, -784, -6896, 2000
1589673986971, 152205, -720, -6784, 1568
1589673986981, 152216, 320, -6576, 1776
1589673986992, 152227, 480, -6928, 1424
1589673987003, 152238, 592, -7120, 1040
1589673987014, 152249, 912, -6688, 432
1589673987027, 152260, 1296, -6624, 240
1589673987037, 152271, 2016, -6336, -512
1589673987048, 152282, 2368, -6528, -736
1589673987058, 152293, 2928, -6848, -2000
1589673987071, 152304, 3344, -7072, -2576
1589673987081, 152315, 3648, -7488, -2832
1589673987092, 152326, 3744, -7408, -3136
1589673987104, 152337, 3904, -7280, -2848
1589673987113, 152348, 4080, -7424, -2880
1589673987125, 152359, 4368, -7344, -2320
1589673987138, 152370, 4368, -7456, -2016
1589673987148, 152381, 4496, -7616, -1648
1589673987158, 152392, 4592, -8144, -976
1589673987168, 152403, 4480, -8624, -464
1589673987179, 152414, 4512, -8688, -64
