Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589673922723, 87955, -3792, -4336, 5776
1589673922734, 87966, -3824, -4400, 5904
1589673922744, 87977, -3728, -4384, 5936
1589673922758, 87988, -3680, -4368, 5936
1589673922767, 87999, -3824, -4352, 5888
1589673922778, 88010, -3808, -4288, 5904
1589673922788, 88021, -3776, -4272, 5856
1589673922799, 88032, -3712, -4320, 5744
1589673922810, 88043, -3712, -4272, 5872
1589673922821, 88054, -3696, -4160, 5760
1589673922834, 88065, -3616, -4176, 5728
1589673922843, 88076, -3664, -4208, 5648
1589673922855, 88087, -3616, -4112, 5680
1589673922865, 88098, -3616, -4160, 5712
1589673922877, 88109, -3648, -4224, 5856
1589673922888, 88120, -3632, -4144, 5728
1589673922898, 88131, -3552, -4208, 5632
1589673922911, 88142, -3552, -4192, 5792
1589673922921, 88153, -3584, -4224, 5776
1589673922931, 88164, -3648, -4192, 5840
1589673922944, 88175, -3664, -4256, 5776
1589673922954, 88186, -3696, -4240, 5760
1589673922965, 88197, -3648, -4224, 5872
1589673922975, 88208, -3664, -4224, 5792
1589673922989, 88219, -3664, -4256, 5744
1589673922997, 88230, -3712, -4304, 5856
1589673923008, 88241, -3680, -4304, 5856
1589673923018, 88252, -3728, -4304, 5872
1589673923030, 88263, -3728, -4304, 5856
1589673923041, 88274, -3728, -4288, 5872
1589673923052, 88285, -3712, -4320, 5776
1589673923064, 88296, -3760, -4304, 5824
1589673923075, 88307, -3744, -4272, 5760
1589673923085, 88318, -3744, -4288, 5728
1589673923098, 88329, -3792, -4224, 5744
1589673923107, 88340, -3760, -4160, 5728
1589673923118, 88351, -3776, -4192, 5744
1589673923129, 88362, -3728, -4144, 5840
1589673923142, 88373, -3712, -4160, 5808
1589673923151, 88384, -3760, -4160, 5792
1589673923161, 88395, -3808, -4224, 5824
1589673923176, 88406, -3808, -4240, 5920
1589673923184, 88417, -4032, -4240, 5984
1589673923196, 88428, -4064, -4208, 6176
1589673923205, 88439, -4096, -4432, 6512
1589673923216, 88450, -4528, -4576, 6480
1589673923228, 88461, -4640, -4544, 6384
1589673923240, 88472, -4688, -4512, 6656
1589673923250, 88483, -4848, -4416, 6416
1589673923262, 88494, -4896, -4336, 6528
1589673923271, 88505, -4912, -4192, 6432
1589673923286, 88516, -4832, -4400, 7008
1589673923294, 88527, -5104, -4176, 6704
1589673923305, 88538, -4944, -4784, 6704
1589673923316, 88549, -4640, -4928, 6000
1589673923329, 88560, -4448, -4784, 5728
1589673923338, 88571, -4416, -5056, 5088
1589673923349, 88582, -3680, -5264, 4928
1589673923360, 88593, -3280, -5344, 4736
1589673923371, 88604, -3184, -5632, 4432
1589673923382, 88615, -2224, -6096, 3856
1589673923394, 88626, -1776, -6480, 2992
1589673923405, 88637, -1776, -6528, 2224
1589673923415, 88648, -1296, -6400, 1536
1589673923426, 88659, -864, -5904, 1088
1589673923438, 88670, -656, -5360, 752
1589673923448, 88681, -400, -4944, 512
1589673923458, 88692, -320, -4448, 32
1589673923470, 88703, 32, -4384, -304
1589673923480, 88714, 112, -4000, -720
1589673923492, 88725, 320, -3456, -1136
1589673923503, 88736, 496, -3264, -1248
1589673923513, 88747, 608, -3200, -1264
1589673923525, 88758, 784, -3104, -912
1589673923535, 88769, 944, -3136, -480
1589673923547, 88780, 1248, -3536, -64
1589673923558, 88791, 1232, -4576, 304
1589673923569, 88802, 1200, -5552, 624
1589673923579, 88813, 1040, -6352, 832
1589673923590, 88824, 720, -7072, 672
1589673923602, 88835, 544, -7824, 448
1589673923614, 88846, 400, -8400, 528
1589673923624, 88857, 848, -8896, 1376
1589673923635, 88868, 1152, -8944, 1968
1589673923647, 88879, 1600, -9392, 2880
1589673923657, 88890, 2032, -11088, 3376
1589673923667, 88901, 2192, -13600, 4432
1589673923679, 88912, 1904, -14480, 4832
1589673923690, 88923, 1456, -14608, 4720
1589673923700, 88934, 1344, -14496, 4448
1589673923712, 88945, 1536, -14464, 4256
1589673923725, 88956, 2096, -14176, 4336
1589673923734, 88967, 2496, -13728, 4704
1589673923745, 88978, 3056, -14672, 5360
1589673923756, 88989, 3056, -14832, 5792
1589673923767, 89000, 2896, -13536, 5536
1589673923779, 89011, 2960, -12560, 5120
1589673923789, 89022, 3040, -12368, 4752
1589673923799, 89033, 3152, -12288, 4464
1589673923812, 89044, 3392, -11968, 4368
1589673923822, 89055, 3392, -11904, 4336
1589673923834, 89066, 3600, -11696, 4416
1589673923844, 89077, 3552, -11232, 4688
1589673923855, 89088, 3584, -10624, 4992
1589673923866, 89099, 3488, -10176, 5248
1589673923877, 89110, 3392, -9728, 5712
1589673923888, 89121, 3376, -9376, 6048
1589673923899, 89132, 3296, -9552, 6176
1589673923911, 89143, 2912, -9328, 6144
1589673923920, 89154, 2912, -8992, 6080
1589673923932, 89165, 2688, -8656, 6224
1589673923944, 89176, 2688, -8240, 6592
1589673923955, 89187, 2688, -7856, 6880
1589673923965, 89198, 2448, -7408, 6992
1589673923976, 89209, 2400, -6768, 7344
1589673923987, 89220, 2368, -6016, 7856
1589673923998, 89231, 2352, -5536, 8448
1589673924008, 89242, 2384, -5024, 8672
1589673924021, 89253, 2320, -5008, 8864
1589673924031, 89264, 1840, -5104, 9024
1589673924041, 89275, 1952, -5232, 9024
1589673924054, 89286, 1968, -5264, 9120
1589673924064, 89297, 2976, -5216, 9600
1589673924074, 89308, 3008, -4912, 10304
1589673924086, 89319, 2624, -4816, 10624
1589673924097, 89330, 2336, -4576, 10416
1589673924108, 89341, 2256, -4432, 9776
1589673924118, 89352, 2192, -4272, 9904
1589673924130, 89363, 2688, -4736, 10192
1589673924141, 89374, 3168, -6176, 10640
1589673924152, 89385, 3424, -7760, 10688
1589673924165, 89396, 3696, -8896, 10848
1589673924174, 89407, 3792, -9824, 11280
1589673924186, 89418, 4192, -10576, 11696
1589673924196, 89429, 4544, -11216, 11984
1589673924208, 89440, 4880, -12144, 12064
1589673924217, 89451, 5328, -13408, 12016
1589673924229, 89462, 5776, -15296, 11424
1589673924241, 89473, 5936, -17424, 11520
1589673924251, 89484, 5936, -18768, 11168
1589673924261, 89495, 6080, -19936, 11440
1589673924273, 89506, 6736, -21728, 12144
1589673924283, 89517, 7136, -23552, 12688
1589673924296, 89528, 7392, -24928, 13280
1589673924306, 89539, 7392, -27248, 13968
1589673924317, 89550, 7568, -28496, 14368
1589673924329, 89561, 7808, -29232, 14656
1589673924339, 89572, 8624, -29888, 14880
1589673924351, 89583, 9328, -29792, 15104
1589673924361, 89594, 9936, -29264, 14864
1589673924373, 89605, 10160, -28352, 13296
1589673924383, 89616, 10336, -27264, 11904
1589673924395, 89627, 10448, -26000, 10592
1589673924405, 89638, 10512, -24256, 8464
1589673924416, 89649, 11152, -21984, 6080
1589673924428, 89660, 10752, -19184, 2384
1589673924439, 89671, 10368, -15040, -2304
1589673924449, 89682, 7968, -12480, -5520
1589673924463, 89693, 6144, -11808, -8512
1589673924473, 89704, 5760, -11680, -9824
1589673924482, 89715, 3872, -10880, -8624
1589673924493, 89726, 3760, -9760, -6928
1589673924504, 89737, 3696, -8496, -4560
1589673924516, 89748, 3344, -7792, -3120
1589673924526, 89759, 3104, -7136, -1056
1589673924540, 89770, 3200, -6224, 1744
1589673924547, 89781, 3056, -5600, 3040
1589673924559, 89792, 2832, -5312, 3408
1589673924570, 89803, 2608, -4800, 3248
1589673924581, 89814, 1520, -4624, 3152
1589673924592, 89825, 1024, -4240, 3248
1589673924602, 89836, 912, -3872, 3504
1589673924615, 89847, 96, -3584, 4032
1589673924625, 89858, -128, -3536, 4480
1589673924636, 89869, -176, -3424, 5200
1589673924649, 89880, -576, -3152, 5552
1589673924658, 89891, -912, -2976, 5552
1589673924668, 89902, -1008, -2880, 5408
1589673924680, 89913, -1600, -2944, 5408
1589673924691, 89924, -1952, -2848, 5504
1589673924702, 89935, -2016, -2688, 5856
1589673924713, 89946, -2256, -2832, 6176
1589673924726, 89957, -2512, -2880, 6576
1589673924735, 89968, -2944, -2832, 6848
1589673924747, 89979, -3120, -2720, 6800
1589673924758, 89990, -3360, -2704, 6976
1589673924768, 90001, -3552, -2928, 6848
1589673924780, 90012, -3632, -2992, 7296
1589673924790, 90023, -3728, -2960, 7264
1589673924803, 90034, -3776, -2928, 7840
1589673924813, 90045, -3824, -2720, 7952
1589673924823, 90056, -3792, -2672, 7808
1589673924834, 90067, -3760, -2704, 7968
1589673924844, 90078, -3712, -2768, 8208
1589673924856, 90089, -3632, -2720, 8560
1589673924867, 90100, -3584, -2864, 8512
1589673924879, 90111, -3424, -3088, 8720
1589673924890, 90122, -3232, -2864, 8928
1589673924900, 90133, -3200, -3008, 8640
1589673924911, 90144, -3104, -3440, 8624
1589673924922, 90155, -3104, -3952, 8512
1589673924934, 90166, -3040, -4144, 7712
1589673924944, 90177, -2992, -4672, 6656
1589673924955, 90188, -2448, -4272, 7296
