Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589674191780, 357019, 4352, -6208, 1904
1589674191791, 357030, 4288, -6192, 2096
1589674191803, 357041, 4224, -6048, 2272
1589674191814, 357052, 4256, -5984, 2304
1589674191824, 357063, 4272, -5808, 2304
1589674191835, 357074, 4288, -5728, 2240
1589674191847, 357085, 4336, -5664, 2208
1589674191858, 357096, 4336, -5664, 2144
1589674191867, 357107, 4368, -5792, 1920
1589674191879, 357118, 4384, -6032, 1760
1589674191892, 357129, 4432, -6128, 1664
1589674191901, 357140, 4432, -6256, 1552
1589674191912, 357151, 4432, -6384, 1568
1589674191924, 357162, 4528, -6432, 1680
1589674191935, 357173, 4592, -6592, 1888
1589674191946, 357184, 4640, -6736, 1936
1589674191957, 357195, 4560, -6864, 1936
1589674191968, 357206, 4528, -6944, 1792
1589674191979, 357217, 4416, -6976, 1792
1589674191990, 357228, 4384, -6992, 1696
1589674192002, 357239, 4336, -6976, 1728
1589674192012, 357250, 4288, -6912, 1664
1589674192022, 357261, 4304, -6816, 1584
1589674192032, 357272, 4352, -6592, 1632
1589674192043, 357283, 4464, -6480, 1600
1589674192055, 357294, 4544, -6448, 1584
1589674192066, 357305, 4512, -6320, 1632
1589674192078, 357316, 4512, -6384, 1632
1589674192089, 357327, 4560, -6384, 1616
1589674192099, 357338, 4560, -6336, 1632
1589674192112, 357349, 4592, -6256, 1808
1589674192122, 357360, 4688, -6160, 1968
1589674192133, 357371, 4720, -6064, 1984
1589674192143, 357382, 4784, -6048, 1952
1589674192154, 357393, 4752, -5984, 1920
1589674192166, 357404, 4752, -6016, 1856
1589674192176, 357415, 4704, -5952, 1856
1589674192189, 357426, 4768, -6000, 1824
1589674192199, 357437, 4752, -6080, 1872
1589674192210, 357448, 4768, -6000, 1968
1589674192220, 357459, 4784, -5808, 2016
1589674192232, 357470, 4800, -5824, 2032
1589674192244, 357481, 4816, -5888, 2016
1589674192253, 357492, 4768, -5936, 1968
1589674192266, 357503, 4720, -5968, 1792
1589674192276, 357514, 4768, -5984, 1744
1589674192286, 357525, 4784, -6112, 1728
1589674192297, 357536, 4752, -6080, 1616
1589674192309, 357547, 4656, -6112, 1584
1589674192320, 357558, 4704, -5984, 1696
1589674192331, 357569, 4688, -5872, 1760
1589674192344, 357580, 4784, -5840, 1728
1589674192353, 357591, 4768, -5744, 1792
1589674192364, 357602, 4704, -5760, 1904
1589674192374, 357613, 4640, -5824, 1792
1589674192387, 357624, 4576, -5856, 1536
1589674192397, 357635, 4384, -5952, 1424
1589674192407, 357646, 4256, -5984, 1248
1589674192418, 357657, 3968, -5936, 1008
1589674192429, 357668, 3664, -5888, 896
1589674192441, 357679, 3248, -5760, 656
1589674192451, 357690, 3104, -5568, 384
1589674192463, 357701, 2144, -5504, 176
1589674192473, 357712, 1648, -5568, -272
1589674192484, 357723, 1552, -5472, -1200
1589674192498, 357734, 960, -5408, -2048
1589674192506, 357745, 896, -5424, -2656
1589674192517, 357756, 880, -5776, -3200
1589674192529, 357767, 1712, -6496, -3552
1589674192540, 357778, 2912, -8096, -3648
1589674192551, 357789, 3184, -10896, -3776
1589674192562, 357800, 5392, -13776, -3568
1589674192574, 357811, 6464, -17440, -3808
1589674192584, 357822, 6688, -21056, -4112
1589674192595, 357833, 9072, -23024, -4336
1589674192605, 357844, 10080, -24624, -3952
1589674192618, 357855, 10480, -27008, -3152
1589674192629, 357866, 13824, -27824, -1680
1589674192639, 357877, 15824, -27552, 800
1589674192651, 357888, 16240, -26208, 2624
1589674192661, 357899, 17264, -24416, 4128
1589674192672, 357910, 15584, -21744, 4656
1589674192682, 357921, 14944, -19600, 4448
1589674192694, 357932, 9568, -17760, 4096
1589674192705, 357943, 7024, -15616, 4032
1589674192715, 357954, 6496, -14704, 4464
1589674192727, 357965, 3552, -14192, 5344
1589674192737, 357976, 3056, -13264, 6080
1589674192749, 357987, 2144, -12224, 6944
1589674192761, 357998, 1984, -11552, 8096
1589674192771, 358009, 3104, -10640, 8736
1589674192782, 358020, 3856, -9440, 8800
1589674192792, 358031, 4528, -8672, 8000
1589674192803, 358042, 4864, -8464, 6720
1589674192815, 358053, 4784, -8832, 5936
1589674192825, 358064, 4688, -9792, 5104
1589674192838, 358075, 4784, -11040, 5040
1589674192848, 358086, 5184, -11648, 5456
1589674192859, 358097, 5744, -11984, 6256
1589674192869, 358108, 6480, -11936, 6592
1589674192880, 358119, 6992, -10720, 6480
1589674192891, 358130, 6848, -10176, 6208
1589674192902, 358141, 7472, -10720, 5840
1589674192914, 358152, 7344, -10656, 5456
1589674192925, 358163, 7328, -9920, 5536
1589674192936, 358174, 7488, -8656, 5936
1589674192949, 358185, 7536, -7856, 6256
1589674192957, 358196, 7408, -7344, 6256
1589674192968, 358207, 6768, -6000, 6048
1589674192980, 358218, 5936, -4960, 5696
1589674192991, 358229, 4800, -4224, 5504
1589674193001, 358240, 3536, -4080, 5392
1589674193013, 358251, 3136, -4432, 5072
1589674193025, 358262, 3024, -4640, 4336
1589674193034, 358273, 3120, -4576, 3168
1589674193046, 358284, 3776, -4128, 2400
1589674193057, 358295, 3680, -3456, 1552
1589674193068, 358306, 3632, -1584, 1136
1589674193079, 358317, 3568, 736, 1072
1589674193089, 358328, 3984, 3536, 1008
1589674193101, 358339, 4064, 7456, 752
1589674193112, 358350, 5152, 11136, -368
1589674193122, 358361, 4960, 15360, -1216
1589674193134, 358372, 4704, 20080, -1056
1589674193145, 358383, 4208, 22992, -720
1589674193156, 358394, 4752, 24592, -944
1589674193167, 358405, 5136, 25664, -3168
1589674193177, 358416, 7152, 28176, -7040
1589674193188, 358427, 8512, 30432, -12656
1589674193199, 358438, 8912, 28320, -13824
1589674193212, 358449, 11760, 24448, -12656
1589674193222, 358460, 12848, 19488, -9600
1589674193233, 358471, 13088, 13808, -6704
1589674193244, 358482, 15600, 9104, -3920
1589674193254, 358493, 16976, 4048, 256
1589674193266, 358504, 17248, -1824, 2176
1589674193276, 358515, 17504, -5808, 2928
1589674193288, 358526, 16096, -9472, 3216
1589674193299, 358537, 15664, -11728, 3088
1589674193309, 358548, 11488, -13696, 3024
1589674193320, 358559, 9856, -14720, 3504
1589674193331, 358570, 9536, -14800, 4736
1589674193342, 358581, 8176, -14832, 5696
1589674193353, 358592, 7728, -15984, 6256
1589674193365, 358603, 7440, -16768, 6624
1589674193375, 358614, 4992, -17008, 6320
1589674193386, 358625, 4320, -16128, 5616
1589674193398, 358636, 4016, -14848, 5104
1589674193408, 358647, 3904, -13536, 4608
1589674193419, 358658, 3472, -12432, 3952
1589674193431, 358669, 2432, -12528, 3456
1589674193441, 358680, 1568, -13824, 3280
1589674193453, 358691, 992, -15024, 4016
1589674193463, 358702, 464, -14752, 4528
1589674193476, 358713, 416, -14144, 4528
1589674193485, 358724, 704, -13152, 4320
1589674193497, 358735, 512, -11936, 3424
1589674193509, 358746, 304, -10800, 2720
1589674193520, 358757, -224, -10880, 2432
1589674193529, 358768, -1312, -12464, 1792
1589674193543, 358779, -2192, -14576, 896
1589674193553, 358790, -2912, -16592, -16
1589674193564, 358802, -2224, -17856, -400
1589674193576, 358814, -2000, -19584, -1648
1589674193588, 358826, 720, -21776, -3184
1589674193598, 358837, 1200, -24272, -4816
1589674193609, 358848, 480, -26416, -6864
1589674193620, 358859, 96, -27104, -7744
1589674193632, 358870, -3360, -27696, -9136
1589674193643, 358882, -2208, -26240, -10624
1589674193656, 358894, 1968, -25408, -7408
1589674193667, 358905, 4384, -24832, -2960
1589674193678, 358916, 4560, -23392, -640
1589674193688, 358927, 2352, -19440, 608
1589674193699, 358938, -288, -16496, -32
1589674193712, 358950, -2560, -12736, -2448
1589674193724, 358962, -3520, -11280, -3712
1589674193737, 358974, -3664, -9648, -4128
1589674193747, 358986, -2784, -8480, -3424
1589674193760, 358998, -1472, -6960, -1872
1589674193772, 359010, -592, -6240, -1744
1589674193783, 359022, -400, -6160, -2640
1589674193795, 359034, 848, -6704, -3040
1589674193807, 359045, 1552, -7520, -3392
1589674193818, 359056, 2448, -8272, -5008
1589674193828, 359067, 2384, -10288, -11008
1589674193839, 359078, 1024, -12176, -17856
1589674193850, 359089, 1312, -10576, -13776
1589674193862, 359100, 1968, -7984, -8016
1589674193874, 359111, 3056, -7616, -4880
1589674193883, 359122, 4288, -8256, 0
1589674193896, 359133, 5152, -8832, 2704
1589674193905, 359144, 5904, -8944, 4336
1589674193916, 359155, 6688, -10240, 3056
1589674193928, 359166, 5936, -10528, 2160
1589674193937, 359177, 4656, -10304, 800
1589674193950, 359188, 3216, -10176, -640
1589674193962, 359199, 2448, -9776, -480
1589674193971, 359210, 2464, -9200, 144
1589674193983, 359221, 2624, -8112, 1328
1589674193994, 359232, 2864, -7104, 2400
1589674194005, 359243, 3056, -6400, 2944
1589674194016, 359254, 3232, -5920, 3760
1589674194026, 359265, 3104, -5408, 3984
1589674194038, 359276, 3184, -5184, 3776
1589674194048, 359287, 3408, -5072, 3072
