Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589674018552, 183786, -736, -7328, 3312
1589674018562, 183797, -736, -7312, 3280
1589674018573, 183808, -768, -7360, 3200
1589674018585, 183819, -704, -7392, 3216
1589674018595, 183830, -816, -7328, 3264
1589674018606, 183841, -784, -7360, 3424
1589674018620, 183852, -800, -7312, 3296
1589674018628, 183863, -816, -7344, 3216
1589674018639, 183874, -816, -7392, 3312
1589674018650, 183885, -848, -7392, 3312
1589674018661, 183896, -784, -7392, 3376
1589674018673, 183907, -928, -7456, 3392
1589674018683, 183918, -864, -7504, 3392
1589674018693, 183929, -880, -7488, 3392
1589674018705, 183940, -912, -7536, 3536
1589674018715, 183951, -880, -7440, 3472
1589674018727, 183962, -832, -7440, 3472
1589674018738, 183973, -752, -7392, 3472
1589674018749, 183984, -800, -7376, 3456
1589674018763, 183995, -736, -7328, 3408
1589674018770, 184006, -784, -7376, 3280
1589674018782, 184017, -800, -7344, 3344
1589674018794, 184028, -752, -7248, 3280
1589674018805, 184039, -704, -7200, 3440
1589674018815, 184050, -656, -7168, 3280
1589674018826, 184061, -576, -7104, 3264
1589674018838, 184072, -592, -7056, 3296
1589674018849, 184083, -512, -6976, 3168
1589674018859, 184094, -512, -7040, 3104
1589674018870, 184105, -480, -7024, 2976
1589674018881, 184116, -416, -6944, 2944
1589674018892, 184127, -400, -6912, 2784
1589674018904, 184138, -368, -6800, 2752
1589674018914, 184149, -304, -6704, 2736
1589674018925, 184160, -272, -6640, 2576
1589674018938, 184171, -112, -6544, 2592
1589674018946, 184182, -64, -6512, 2496
1589674018959, 184193, -16, -6448, 2384
1589674018969, 184204, 16, -6336, 2208
1589674018980, 184215, 0, -6208, 2192
1589674018990, 184226, -144, -6064, 1632
1589674019001, 184237, -48, -6128, 1120
1589674019014, 184248, -192, -6160, 704
1589674019023, 184259, -176, -6304, 32
1589674019035, 184270, -144, -6512, -192
1589674019049, 184282, 128, -6464, -480
1589674019058, 184293, 176, -6544, -464
1589674019069, 184304, 688, -6672, -416
1589674019079, 184315, 816, -6816, -384
1589674019091, 184326, 800, -7072, -192
1589674019102, 184337, 864, -7440, -144
1589674019113, 184348, 864, -7808, -288
1589674019124, 184359, 1152, -8128, -128
1589674019135, 184370, 1280, -8544, -176
1589674019146, 184381, 1088, -9104, -272
1589674019157, 184392, 880, -9344, -112
1589674019167, 184403, 544, -9344, 32
1589674019179, 184414, 144, -9328, 272
1589674019190, 184425, -192, -9616, 272
1589674019202, 184436, -512, -9920, 224
1589674019213, 184447, -864, -10288, -32
1589674019226, 184459, -1072, -10368, -16
1589674019237, 184471, -1200, -10672, 16
1589674019248, 184482, -1296, -10944, 224
1589674019258, 184493, -1296, -11440, 560
1589674019269, 184504, -1008, -11712, 864
1589674019280, 184515, -800, -12096, 1248
1589674019290, 184526, -736, -12816, 1376
1589674019303, 184537, -224, -13680, 1424
1589674019313, 184548, 112, -14576, 1120
1589674019323, 184559, 240, -15728, 1216
1589674019337, 184570, 768, -16496, 1232
1589674019346, 184581, 928, -17200, 1248
1589674019357, 184592, 1040, -17472, 1344
1589674019368, 184603, 1056, -17536, 1888
1589674019379, 184614, 1136, -17504, 3248
1589674019391, 184625, 1296, -17296, 4320
1589674019401, 184636, 1520, -17216, 5088
1589674019413, 184647, 1360, -17120, 5776
1589674019424, 184658, 1248, -16752, 5968
1589674019435, 184669, 448, -16672, 5536
1589674019446, 184680, 64, -16416, 5840
1589674019455, 184691, 0, -16016, 5712
1589674019468, 184702, -144, -15696, 6368
1589674019479, 184713, -256, -14688, 7552
1589674019489, 184724, -272, -14416, 8784
1589674019500, 184735, -192, -13792, 9264
1589674019510, 184746, -160, -12992, 8832
1589674019523, 184757, 16, -12128, 7840
1589674019533, 184768, -416, -11840, 6880
1589674019544, 184779, -464, -12688, 5872
1589674019556, 184790, -288, -12400, 6336
1589674019566, 184801, -208, -11312, 6592
1589674019577, 184812, -16, -10560, 6976
1589674019590, 184823, 64, -10240, 7136
1589674019599, 184834, 48, -10272, 6848
1589674019609, 184845, 256, -10144, 6576
1589674019621, 184856, 368, -9904, 6400
1589674019633, 184867, 528, -9536, 6336
1589674019642, 184878, 624, -8864, 6032
1589674019654, 184889, 784, -8416, 5840
1589674019666, 184900, 752, -8272, 5568
1589674019678, 184911, 688, -8384, 5296
1589674019687, 184922, 720, -8224, 4976
1589674019700, 184933, 800, -7600, 4640
1589674019709, 184944, 928, -6784, 4592
1589674019720, 184955, 944, -6320, 4816
1589674019731, 184966, 1136, -5792, 5360
1589674019743, 184977, 1104, -5328, 5376
1589674019753, 184988, 944, -5040, 5088
1589674019764, 184999, 624, -4768, 4432
1589674019775, 185010, 160, -4352, 4016
1589674019786, 185021, -192, -4288, 3392
1589674019797, 185032, -592, -4272, 3264
1589674019810, 185043, -880, -4032, 3184
1589674019820, 185054, -1120, -3552, 3088
1589674019830, 185065, -1200, -3120, 3152
1589674019844, 185076, -1248, -2800, 3392
1589674019852, 185087, -1552, -2592, 3248
1589674019863, 185098, -1776, -2336, 3264
1589674019873, 185109, -2080, -2192, 2528
1589674019886, 185120, -2192, -1984, 2352
1589674019897, 185131, -2320, -1728, 2096
1589674019907, 185142, -2272, -1376, 1952
1589674019919, 185153, -2448, -1072, 1856
1589674019928, 185164, -2480, -720, 1680
1589674019940, 185175, -2416, -192, 1536
1589674019952, 185186, -2496, -96, 1248
1589674019964, 185197, -2704, -352, 960
1589674019973, 185208, -2784, -688, 752
1589674019985, 185219, -2912, -688, 848
1589674019995, 185230, -2816, -480, 1008
1589674020006, 185241, -2880, -208, 1152
1589674020016, 185252, -2848, -128, 1328
1589674020029, 185263, -2784, -208, 1424
1589674020039, 185274, -2784, -512, 1248
1589674020050, 185285, -2592, -816, 992
1589674020061, 185296, -2352, -896, 1120
1589674020071, 185307, -2320, -800, 1184
1589674020083, 185318, -1680, -784, 1216
1589674020093, 185329, -1248, -896, 1376
1589674020107, 185340, -1200, -1392, 1328
1589674020116, 185351, -736, -1744, 1152
1589674020127, 185362, -784, -1856, 352
1589674020139, 185373, -720, -1792, -352
1589674020149, 185385, 0, -1520, -752
1589674020161, 185396, 32, -1440, -992
1589674020173, 185407, 128, -1520, -1040
1589674020183, 185418, 176, -1552, -1024
1589674020194, 185429, 576, -2080, -1056
1589674020205, 185440, 768, -3056, -1984
1589674020217, 185451, 1008, -3792, -2560
1589674020229, 185462, 1296, -4064, -3712
1589674020238, 185473, 1072, -4176, -4992
1589674020249, 185484, 896, -4032, -6144
1589674020260, 185495, 704, -4096, -6992
1589674020271, 185506, 592, -4320, -7728
1589674020281, 185517, 544, -4544, -8608
1589674020294, 185528, 288, -4208, -9264
1589674020304, 185539, 256, -3776, -9664
1589674020314, 185550, 400, -3616, -9840
1589674020326, 185561, 384, -3808, -9904
1589674020337, 185572, 592, -3984, -9520
