Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589674116961, 282198, -4144, -1312, -6656
1589674116974, 282210, -4176, -1248, -6464
1589674116984, 282222, -4096, -1264, -6336
1589674116999, 282234, -4048, -1232, -6240
1589674117011, 282246, -4000, -1216, -6240
1589674117021, 282258, -4032, -1216, -6512
1589674117034, 282270, -4048, -1248, -6512
1589674117044, 282282, -4112, -1248, -6544
1589674117057, 282294, -4144, -1376, -6560
1589674117071, 282306, -4160, -1312, -6576
1589674117081, 282318, -4016, -1296, -6448
1589674117093, 282330, -3936, -1232, -6480
1589674117105, 282342, -3968, -1200, -6288
1589674117119, 282354, -3968, -1168, -6544
1589674117129, 282366, -4112, -1056, -6704
1589674117142, 282378, -4144, -944, -6528
1589674117153, 282390, -4176, -816, -6528
1589674117165, 282402, -4272, -752, -6432
1589674117178, 282414, -4272, -688, -6448
1589674117190, 282426, -4400, -672, -6624
1589674117202, 282438, -4464, -784, -6544
1589674117213, 282450, -4544, -960, -6528
1589674117226, 282462, -4560, -1248, -6528
1589674117237, 282474, -4592, -1488, -6736
1589674117249, 282486, -4608, -1600, -6592
1589674117262, 282498, -4544, -1760, -6512
1589674117273, 282510, -4576, -2000, -6576
1589674117285, 282522, -4560, -2272, -6752
1589674117299, 282534, -4544, -2512, -7344
1589674117309, 282546, -4608, -2512, -8112
1589674117321, 282558, -4464, -2208, -8896
1589674117335, 282570, -4208, -2192, -9664
1589674117346, 282582, -4192, -2144, -10256
1589674117358, 282594, -3472, -2304, -10960
1589674117371, 282606, -3216, -2688, -11776
1589674117381, 282618, -2944, -3024, -12304
1589674117393, 282630, -2688, -3168, -13248
1589674117406, 282642, -2144, -2832, -14048
1589674117418, 282654, -1664, -2064, -14896
1589674117428, 282666, -1552, -1472, -15520
1589674117442, 282678, -608, -1024, -15696
1589674117453, 282690, 16, -896, -15616
1589674117464, 282701, 480, -816, -15136
1589674117477, 282712, 992, -864, -14624
1589674117486, 282723, 1136, -928, -14368
1589674117497, 282734, 1712, -1296, -14032
1589674117507, 282745, 2048, -1488, -12992
1589674117520, 282756, 2064, -1536, -12368
1589674117530, 282767, 2640, -1520, -11600
1589674117541, 282778, 2848, -1264, -10624
1589674117553, 282789, 2928, -1312, -9968
1589674117563, 282800, 3088, -1600, -9328
1589674117575, 282811, 3168, -1648, -8496
1589674117586, 282822, 3200, -1392, -7760
1589674117596, 282833, 3072, -1200, -7216
1589674117607, 282844, 3120, -912, -6208
1589674117618, 282855, 3136, -544, -5344
1589674117629, 282866, 2896, -608, -4544
1589674117640, 282877, 2736, -688, -3696
1589674117651, 282888, 2720, -336, -3216
1589674117662, 282899, 2176, -80, -2736
1589674117673, 282910, 1968, 48, -2320
1589674117684, 282921, 1968, 320, -1776
1589674117697, 282932, 1440, 448, -1136
1589674117706, 282943, 1280, 736, -368
1589674117717, 282954, 1200, 1072, 112
1589674117727, 282965, 864, 1264, 400
1589674117740, 282976, 720, 1056, 416
1589674117749, 282987, 352, 848, 768
1589674117760, 282998, 128, 560, 624
1589674117772, 283009, -432, 368, 672
1589674117782, 283020, -576, 240, 736
