Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589674178230, 343468, 5440, -5664, 1184
1589674178241, 343479, 5392, -5712, 1120
1589674178252, 343490, 5472, -5744, 1200
1589674178263, 343501, 5440, -5824, 1072
1589674178274, 343512, 5456, -5824, 928
1589674178285, 343523, 5408, -5840, 848
1589674178297, 343534, 5296, -5936, 736
1589674178306, 343545, 5328, -5936, 704
1589674178319, 343556, 5280, -5984, 576
1589674178329, 343567, 5264, -6016, 688
1589674178340, 343578, 5344, -6032, 640
1589674178351, 343589, 5504, -6064, 912
1589674178361, 343600, 5664, -5920, 1040
1589674178373, 343611, 5616, -5680, 976
1589674178383, 343622, 5552, -5600, 800
1589674178394, 343633, 5696, -5744, 720
1589674178406, 343644, 5808, -5856, 672
1589674178417, 343655, 5904, -5888, 752
1589674178428, 343666, 5984, -5968, 688
1589674178440, 343677, 6144, -5888, 720
1589674178449, 343688, 6208, -5712, 992
1589674178461, 343699, 6576, -5744, 1504
1589674178471, 343710, 7216, -5952, 2272
1589674178484, 343721, 7728, -6144, 3232
1589674178493, 343732, 7616, -6048, 3616
1589674178505, 343743, 7216, -5872, 3664
1589674178516, 343754, 7072, -5696, 3328
1589674178527, 343765, 6224, -5584, 3104
1589674178538, 343776, 5728, -5536, 2736
1589674178550, 343787, 5488, -5408, 1968
1589674178559, 343798, 4336, -5520, 1632
1589674178572, 343809, 4016, -5536, 1408
1589674178582, 343820, 3984, -5360, 1424
1589674178593, 343831, 3744, -5184, 1488
1589674178604, 343842, 3520, -4960, 1536
1589674178614, 343853, 3520, -4848, 1056
1589674178626, 343864, 3472, -4816, 736
1589674178637, 343875, 3392, -4800, 432
1589674178647, 343886, 3376, -5088, 416
1589674178659, 343897, 3968, -5632, 272
1589674178670, 343908, 4272, -6864, -1584
1589674178682, 343919, 4256, -7984, -3504
1589674178692, 343930, 2928, -8608, -4832
1589674178705, 343941, 2880, -9024, -5536
1589674178715, 343952, 2928, -9344, -5392
1589674178725, 343963, 2784, -9136, -5120
1589674178736, 343974, 2320, -8608, -5696
1589674178748, 343985, 2208, -7776, -5632
1589674178761, 343996, 2336, -7072, -5520
1589674178769, 344007, 3520, -6368, -5776
1589674178780, 344018, 3808, -5968, -5696
1589674178790, 344029, 10144, -5776, -5632
1589674178803, 344040, 15360, -5696, -4464
1589674178814, 344051, 16576, -5872, -3600
1589674178824, 344062, 30832, -6576, -960
1589674178835, 344073, 32528, -5968, 4784
1589674178847, 344084, 32592, -4640, 8048
1589674178857, 344095, 32640, -3760, 11568
1589674178868, 344106, 29616, -1312, 14144
1589674178879, 344117, 28400, -640, 13872
1589674178890, 344128, 18416, -1056, 12240
1589674178901, 344139, 14752, -256, 11952
1589674178912, 344150, 12624, 352, 13952
1589674178923, 344161, 10576, 624, 15872
1589674178933, 344172, 7712, 480, 16432
1589674178944, 344183, 5328, -448, 14608
1589674178956, 344194, 3296, -1664, 12016
1589674178967, 344205, 3776, -3936, 8624
1589674178977, 344216, 4928, -6016, 5744
1589674178988, 344227, 5040, -7952, 2624
1589674179001, 344238, 4304, -8944, -1568
1589674179011, 344249, 2224, -8384, -4112
1589674179021, 344260, 608, -7104, -5744
1589674179033, 344271, 32, -5888, -6736
1589674179045, 344282, 672, -5392, -6512
1589674179055, 344293, 1264, -5568, -5344
1589674179066, 344304, 2288, -6608, -3824
1589674179077, 344315, 3424, -7648, -2688
1589674179088, 344326, 4544, -8560, -1680
1589674179098, 344337, 6448, -9728, -544
1589674179110, 344348, 8208, -10784, 0
1589674179121, 344359, 10128, -11712, 560
1589674179132, 344370, 10736, -12384, 1504
1589674179142, 344381, 13472, -12832, 2064
1589674179154, 344392, 13936, -12752, 2352
1589674179165, 344403, 13968, -12144, 2768
1589674179175, 344414, 12912, -11200, 3152
1589674179187, 344425, 11856, -10432, 3184
1589674179198, 344436, 11600, -9376, 3136
1589674179209, 344447, 8736, -8480, 2880
1589674179220, 344458, 7456, -7632, 2816
1589674179231, 344469, 7120, -6448, 2864
1589674179242, 344480, 4912, -5568, 2736
1589674179253, 344491, 3872, -4880, 2512
1589674179264, 344502, 3632, -4128, 1936
1589674179274, 344513, 2656, -3728, 1616
1589674179286, 344524, 2672, -3344, 1392
1589674179296, 344535, 2736, -2992, 1136
1589674179307, 344546, 2896, -2656, 672
1589674179318, 344557, 2880, -2624, 128
1589674179331, 344568, 2928, -2464, -144
1589674179341, 344579, 3040, -2816, -192
1589674179352, 344590, 3312, -3312, 304
1589674179362, 344601, 3328, -3888, 240
1589674179373, 344612, 3232, -4432, -176
1589674179385, 344623, 3408, -5168, -672
1589674179396, 344634, 3456, -5504, -1040
1589674179407, 344645, 4656, -6064, -1216
1589674179418, 344656, 6016, -6304, -976
1589674179428, 344667, 6352, -6192, -768
1589674179441, 344678, 7984, -6208, -880
1589674179451, 344689, 8416, -6352, -1296
1589674179462, 344700, 8096, -6096, -1648
1589674179473, 344711, 7072, -5376, -1808
1589674179485, 344722, 5648, -4944, -1136
1589674179494, 344733, 4864, -5040, -480
1589674179505, 344744, 4272, -5376, -16
1589674179517, 344755, 3488, -5696, -64
1589674179528, 344766, 2736, -5792, -464
1589674179539, 344777, 1904, -5664, -800
1589674179551, 344788, 1680, -5296, -1200
1589674179561, 344799, 2400, -4976, -912
1589674179572, 344810, 3344, -4400, -208
1589674179582, 344821, 4064, -3456, 368
1589674179594, 344832, 4608, -2448, 1104
1589674179605, 344843, 5104, -1584, 2160
1589674179615, 344854, 5408, -720, 3760
1589674179628, 344865, 6320, -1008, 4672
1589674179638, 344876, 8432, -2016, 5280
1589674179649, 344887, 13264, -2592, 8288
1589674179660, 344898, 18240, -400, 14240
1589674179672, 344909, 21840, 336, 18384
1589674179682, 344920, 22880, -2064, 16416
1589674179693, 344931, 24144, -8832, 14000
1589674179704, 344942, 23424, -11888, 11920
1589674179714, 344953, 22752, -11504, 9264
1589674179726, 344964, 16688, -10368, 7008
1589674179737, 344975, 13392, -9216, 4720
1589674179748, 344986, 12608, -8448, 2400
1589674179759, 344997, 7616, -8176, 560
1589674179771, 345008, 5200, -7712, -1392
1589674179781, 345019, 4576, -6992, -3952
1589674179792, 345030, 928, -6304, -5392
1589674179803, 345041, -128, -5280, -5984
1589674179815, 345053, -336, -4192, -5136
1589674179826, 345065, 384, -3616, -3792
1589674179838, 345076, 608, -3296, -3296
1589674179849, 345087, 400, -3072, -3200
1589674179860, 345098, 448, -3072, -3600
1589674179870, 345109, 176, -2992, -3664
1589674179882, 345120, -256, -2816, -3696
1589674179893, 345132, -560, -2608, -3584
1589674179905, 345144, -672, -2320, -3392
1589674179918, 345156, -576, -1984, -3088
1589674179930, 345168, -352, -1744, -2528
1589674179942, 345180, -208, -1920, -1984
1589674179955, 345192, 1136, -2480, -1312
1589674179964, 345203, 2304, -3280, -816
1589674179975, 345214, 5056, -4832, -32
1589674179987, 345225, 9584, -7312, 1168
1589674179998, 345236, 16912, -10896, 4400
1589674180009, 345247, 30032, -14672, 12592
1589674180022, 345258, 32480, -12032, 23504
1589674180031, 345269, 26448, -6736, 28112
1589674180042, 345280, 24448, -8720, 19104
1589674180053, 345291, 17200, -12544, 12032
1589674180065, 345302, 12736, -13296, 8816
1589674180074, 345313, 11552, -12816, 5584
1589674180086, 345324, 4608, -12976, 3280
1589674180097, 345335, 3072, -12336, 1088
1589674180108, 345346, 2672, -11472, -480
1589674180118, 345357, 1440, -10512, -1584
1589674180131, 345368, 2064, -9488, -2864
1589674180142, 345379, 2336, -8608, -5152
1589674180153, 345390, 4864, -7776, -7152
1589674180163, 345401, 5264, -6992, -9648
1589674180174, 345412, 5312, -5808, -10640
1589674180185, 345423, 4304, -4832, -10880
1589674180196, 345434, 3632, -3696, -9776
1589674180207, 345445, 3424, -2448, -8560
1589674180218, 345456, 2032, -2016, -7376
